中国概念股周三早盘几乎全线上涨
　　新浪科技讯 美国东部时间3月4日10:00(北京时间3月4日23:00)消息，美股周三大幅高开，部分投资者在美股连续五个交易日下跌后选择抄底。
　　道琼斯工业平均指数上涨了101.23点，至6827.25点；标准普尔500指数上涨了11.1点，至707.43点；纳斯达克综合指数上涨了19.65点，至1340.66点。
　　中国概念股大部分上涨，前程无忧、新华财经传媒、文思信息下微跌。
　　股票名称 最新价  涨跌幅
　　新浪 20.320   5.830%
　　网易 21.380   2.370%
　　搜狐 45.690   6.630%
　　百度 155.000   7.200%
　　分众传媒 6.610   2.320%
　　盛大 31.670   1.670%
　　巨人网络 6.480   1.410%
　　第九城市 10.500   2.440%
　　完美时空 10.340   4.660%
　　携程网 20.460   6.010%
　　金融界 8.220   8.020%
　　艺龙 4.580   8.270%
　　前程无忧 6.640  -1.480%
　　掌上灵通 1.250   1.600%
　　空中网 4.920   0.210%
　　华友世纪 1.290   0.000%
　　易居中国 6.550   4.800%
　　如家快捷 8.370   1.450%
　　新东方 43.750   2.890%
　　正保远程教育 5.000   1.110%
　　华视传媒 6.090   4.820%
　　航美传媒 4.140   4.550%
　　新华财经传媒 0.420  -1.180%
　　永新视博 6.340   1.930%
　　UT斯达康 0.800   3.900%
　　展讯通信 0.880   6.020%
　　亚信科技 11.580   3.300%
　　中芯国际 1.700   3.660%
　　中星微电子 1.850   0.000%
　　炬力 1.380   0.000%
　　侨兴环球 1.040   2.970%
　　德信无线 1.430   1.420%
　　无锡尚德 5.680   6.370%
　　文思信息 4.420  -0.670%
　　诺亚舟 3.000   1.350%
　　中华网 0.790   5.110%


