中国概念股周二多数上涨 百度大涨超6%
　　新浪科技讯 北京时间10月6日凌晨消息，周二美国股市大幅攀升，大盘收于5个月以来新高，道指逼近1万1千点关口。中国概念股周二多数上涨，百度大涨6.73%。
　　美东时间10月5日16:00(北京时间10月6日04:00)，道琼斯工业平均指数上涨193.45点，收于10,944.72点，涨幅 1.80%；纳斯达克综合指数上涨55.31点，收于2,399.83点，涨幅2.36%；标准普尔500指数上涨23.69点，收于1,160.72 点，涨幅2.08%。道指最高曾上涨超过214点。
　　中国概念股周二多数上涨，其中百度大涨6.73%，展讯通信涨幅超过7%。
　　股票 最新价 涨跌幅
　　新浪	51.02	1.37%
　　CRIC	10.77	-1.46%
　　网易	39.08	-2.88%
　　搜狐	60.12	2.77%
　　百度	102.7	6.74%
　　分众传媒	25.47	3.12%
　　盛大	39.76	1.32%
　　盛大游戏	5.76	2.67%
　　巨人网络	6.38	0.47%
　　畅游	28.01	1.45%
　　第九城市	5.15	0.59%
　　完美时空	26.53	2.16%
　　携程网	47.55	2.65%
　　金融界	7.1	-0.28%
　　艺龙	17.56	-0.85%
　　前程无忧	39.35	-0.93%
　　掌上灵通	1.4	2.19%
　　空中网	6.25	2.46%
　　酷6传媒	4.32	2.86%
　　易居中国	19	0.00%
　　如家快捷	50.66	2.76%
　　7天连锁	18.61	3.45%
　　新东方	92.86	-3.79%
　　正保远程教育	4.96	0.00%
　　华视传媒	4.5	-1.96%
　　航美传媒	5.33	-3.09%
　　新华悦动传媒	0.21	3.23%
　　永新视博	7.1	2.75%
　　UT斯达康	2.45	2.51%
　　展讯通信	13.51	7.91%
　　亚信科技	19.93	1.79%
　　中芯国际	3.63	3.42%
　　中星微电子	3.84	3.78%
　　炬力	1.99	-0.50%
　　侨兴环球	1.48	1.37%
　　德信无线	3.68	5.75%
　　无锡尚德	8.7	-1.02%
　　文思信息	32.59	0.99%
　　诺亚舟	2.04	-10.92%
　　中华网	4.52	4.87%
　　CDC软件	6.71	2.29%
　　侨兴移动	3.4	0.89%
　　国人通信	2.23	-0.45%
　　汉庭连锁酒店	23	-2.13%

