福布斯中文版最受赞赏中国公司出炉
　　新浪科技讯 10月2日消息，《福布斯》中文版日前评选出“2009最受赞赏的中国公司”，海尔、阿里巴巴和宝钢集团分列全明星榜前三名。另有新浪、腾讯、携程等三家互联网公司上榜。
　　这次调查共涉及19个行业，299家候选公司。《福布斯》中文版通过网络向2.5万名中国企业的高级经理人发放了问卷，每位受访者按照“产品和服务的地位”、“长期投资价值”等9项标准为候选公司打分。每位受访者都需要填写两份问卷：一是依据自身所在行业为本行业的公司打分，综合得分最高的前5位进入行业榜；二是在所有的侯选公司中不分行业选出心目中最推崇的公司，综合得分最高的25家公司荣登“最受赞赏的中国公司”全明星榜。
　　共有16家公司连续四年入选“最受赞赏的公司”榜单，其中包括海尔、联想、宝钢、招商银行、华为、同仁堂、贵州茅台、万科、青岛啤酒、奇瑞汽车、中国移动、格力电器、 美的集团、中国银行、娃哈哈集团、SOHO中国。(晓叶)
　　《福布斯》2009年最受赞赏的中国公司全明星榜：
　　排名       公司名称
　　1          海尔集团
　　2          	阿里巴巴
　　3         	宝钢集团
　　4          	联想集团有限公司
　　5          	招商银行
　　6          	华为技术有限公司
　　7         	比亚迪股份有限公司
　　8          	北京同仁堂集团
　　9          	贵州茅台酒厂有限责任公司
　　10         	万科企业股份有限公司
　　11        	青岛啤酒股份有限公司
　　12         	腾讯
　　13         	奇瑞汽车股份有限公司
　　14        	苏宁电器
　　15         	中国移动通信集团公司
　　16         	携程
　　17        	珠海格力电器股份有限公司
　　18        	美的集团有限公司
　　19         	格兰仕集团有限公司
　　20         	中国银行
　　21        	杭州娃哈哈集团有限公司
　　22        	新浪
　　23         	上海汽车工业(集团)总公司
　　24        	SOHO中国有限公司
　　25         	中国工商银行

