中国概念股周二早盘涨跌互现
　　新浪科技讯 美国东部时间5月5日10:24(北京时间5月5日22:24)消息，周二美股开盘小幅下滑。尽管有迹象表明美国经济状况已经趋稳，但由于投资者担心美国政府可能勒令10家银行提高资本水平，美国股市仍然遭到下行压力。中国概念股涨跌互现。
　　美东时间周二上午10:24(北京时间5月5日22:24)，道琼斯工业平均指数上涨11.47点，报8438.21点，涨幅0.14%。标准普尔 500指数下跌1.44点，报905.80点，跌幅0.16%。纳斯达克综合指数下跌11.95点，报1751.61点，跌幅0.68%。
　　中国概念股周二早盘涨跌互现，其中，盛大跌4.25%，分众传媒涨9.18%。
　　股票名称    最新价     涨跌幅
　　新浪    28.400     -1.530%
　　网易    31.250      1.590%
　　搜狐    55.480     -3.600%
　　百度    246.320     -0.780%
　　分众传媒    7.490      9.180%
　　盛大    50.200     -4.250%
　　巨人网络    8.260      0.250%
　　畅游    33.160      1.660%
　　第九城市    9.570     -0.930%
　　完美时空    17.970     -2.280%
　　携程网    32.950     -1.440%
　　金融界    12.910     -3.820%
　　艺龙    6.920      0.000%
　　前程无忧    9.020      2.970%
　　掌上灵通    1.500      6.380%
　　空中网    6.980     -1.040%
　　华友世纪    2.650      6.000%
　　易居中国    12.450     -3.560%
　　如家快捷    14.130     -0.350%
　　新东方    55.100     -2.410%
　　正保远程教育    5.140     -3.020%
　　华视传媒    5.740      0.350%
　　航美传媒    6.570     -3.380%
　　新华悦动传媒    0.720      0.060%
　　永新视博    9.920     -1.880%
　　UT斯达康    1.320     -2.940%
　　展讯通信    1.730     -3.890%
　　亚信科技    17.440      0.190%
　　中芯国际    2.110     -4.090%
　　中星微电子    1.800     -2.700%
　　炬力    1.950      2.960%
　　侨兴环球    2.070     -1.240%
　　德信无线    1.770      2.310%
　　无锡尚德    17.160      3.690%
　　文思信息    8.000      0.500%
　　诺亚舟    3.150     -2.480%
　　中华网    1.330      0.770%


