中国互联网公司周二普遍下跌
　　新浪科技讯 北京时间5月5日凌晨消息 受欧洲债务危机可能蔓延、澳洲拟向矿业公司征税以及中国制造业数据不佳等因素影响，周二美国股市大幅下跌，中国互联网公司股价普遍下跌。
　　截至收盘，道琼斯工业平均指数下跌225.06点，跌幅2.02%，收于10,926.77点，为4月7日以来最低收盘点数。2.02%的跌幅也是道指自2月4日以来的最大单日下跌百分比。
　　纳斯达克综合指数下跌74.49点，跌幅2.98%，收于2,424.25点，为4月1日以来最低收盘点数。74.49点的下跌点数也是2009年1月20日以来的最大单日下跌点数。
　　标准普尔500指数下跌28.66点，跌幅2.38%，收于1,173.60点，为3月31日以来最低收盘点数。2.38%的跌幅为该指数自2月4日以来的最大下跌百分比。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	34.13	-6.95%
　　CRIC	CRIC	8.23	-0.60%
　　网易	NTES	32.75	-4.80%
　　搜狐	SOHU	46.32	-4.48%
　　百度	BIDU	693	-2.26%
　　分众传媒	FMCN	15.89	-4.56%
　　盛大	SNDA	44.16	-2.41%
　　盛大游戏	GAME	6.15	-10.22%
　　巨人网络	GA	7.44	-2.87%
　　畅游	CYOU	31.34	-3.72%
　　第九城市	NCTY	6.2	-3.43%
　　完美时空	PWRD	32.63	-4.23%
　　携程网	CTRP	36.59	-1.19%
　　金融界	JRJC	7.26	-3.84%
　　艺龙	LONG	11.07	-0.36%
　　前程无忧	JOBS	19.86	-1.24%
　　掌上灵通	LTON	1.64	-1.21%
　　空中网	KONG	7.02	-5.52%
　　华友世纪	HRAY	3.55	-1.39%
　　易居中国	EJ	14.75	-9.29%
　　如家快捷	HMIN	33.32	-6.85%
　　7天连锁	SVN	9.64	-8.10%
　　新东方	EDU	94.44	-0.70%
　　正保远程教育	DL	5.5	3.19%
　　华视传媒	VISN	3.98	-7.01%
　　航美传媒	AMCN	5.5	-12.14%
　　新华悦动传媒	XSEL	0.67	3.08%
　　永新视博	STV	6.5	-5.52%
　　UT斯达康	UTSI	2.74	-7.12%
　　展讯通信	SPRD	7.43	7.06%
　　亚信科技	ASIA	26.52	-4.67%
　　中芯国际	SMI	5	-3.85%
　　中星微电子	VIMC	4.46	-1.55%
　　炬力	ACTS	2.33	-1.69%
　　侨兴环球	XING	1.62	-3.57%
　　德信无线	CNTF	2.25	-4.66%
　　无锡尚德	STP	13	-6.27%
　　文思信息	VIT	24.19	-4.91%
　　诺亚舟	NED	4.2	-2.33%
　　中华网	CHINA	2.52	-4.18%
　　CDC软件	CDCS	9.28	-3.33%
　　侨兴移动	QXM	2.55	-3.41%
　　国人通信	GRRF	2.21	-4.74%
　　汉庭连锁酒店	HTHT	14.54	-3.71%

