中国互联网公司周五股价多数下跌
　　新浪科技讯 受到JP摩根旗下零售银行部门蒙受亏损、消费者信心不及预期以及美元汇率等利空影响，周五美国股市收盘大幅下跌。与此同时，中国互联网公司周五股价多数下跌。
　　美东时间周五下午16:00(北京时间1月16日05:00)，道琼斯工业平均指数下跌100.75点，收于10,609.80点，跌幅0.94%；纳斯达克综合指数下跌28.75点，收于2,287.99点，跌幅1.24%；标准普尔500指数下跌12.44点，收于1,136.02点，跌幅1.08%；
　　股票名称		最新价		涨跌幅
　　新浪		44.73		-1.54%
　　CRIC		9.95		-0.90%
　　网易		37.31		-4.68%
　　搜狐		59.21		-1.97%
　　百度		467.68		0.74%
　　分众传媒		17.2		-2.05%
　　盛大		53		-2.81%
　　盛大游戏		10.16		-0.97%
　　巨人网络		7.47		-0.27%
　　畅游		34.52		1.47%
　　第九城市		8.52		1.91%
　　完美时空		41.99		-2.39%
　　携程网		72.75		-0.80%
　　金融界		8.46		-1.63%
　　艺龙		12.04		0.67%
　　前程无忧		18.3		-0.05%
　　掌上灵通		1.89		-2.58%
　　空中网		12.36		-4.70%
　　华友世纪		4		-2.91%
　　易居中国		16.79		-1.06%
　　如家快捷		35.11		-2.04%
　　7天连锁		14.7		0.14%
　　新东方		72.13		-7.41%
　　正保远程教育		6.78		1.50%
　　华视传媒		10.79		-4.26%
　　航美传媒		8.5		0.00%
　　新华悦动传媒		0.81		3.58%
　　永新视博		7.04		-2.49%
　　UT斯达康		2.33		0.43%
　　展讯通信		5.82		-0.68%
　　亚信科技		28.8		-0.72%
　　中芯国际		4.65		4.97%
　　中星微电子		4.95		-1.00%
　　炬力		2.5		0.81%
　　侨兴环球		2.52		-2.33%
　　德信无线		3.45		-0.29%
　　无锡尚德		15.57		-3.23%
　　文思信息		19.35		-3.20%
　　诺亚舟		4.81		-1.23%
　　中华网		2.71		-1.99%
　　CDC软件		10.95		-0.45%
　　侨兴移动		3.52		-2.22%
　　国人通信		3.94		-4.60%

