中国概念股周一涨跌互现 携程网跌5.4%
　　新浪科技讯 北京时间2月15日凌晨消息，周一美国股市收盘涨跌不一。中东局势紧张导致北海布伦特原油期货合约升至两年新高，能源板块因此普遍攀升。在奥巴马公布2012年预算案之后，金融股大多下跌。中国概念股涨跌互现，携程网因财报不及分析师预期跌5.4%报40.65美元；新华悦动传媒涨13.20%报1.45美元。
　　另外，搜房网涨6.21%报81.37美元；CRIC涨 4.11%报7.34美元；斯凯网络跌8.94%报8.35美元；展讯通信跌4.47%报22.87美元。
　　美东时间2月14日16:00(北京时间2月15日05:00)，道琼斯工业平均指数下跌5.07点，收于12,268.19点，跌幅0.04%；纳斯达克综合指数上涨7.74点，收于2,817.18点，涨幅0.28%；标准普尔500指数上涨3.17点，收于1,332.32点，涨幅0.24%。
　　股票　最新价　涨跌幅
　　新浪　93.89　0.78%
　　CRIC　7.34　4.11%
　　网易　44.64　1.80%
　　搜狐　88.01　-0.98%
　　百度　128.81　-0.59%
　　分众传媒　25.66　-0.12%
　　盛大　44.69　-0.13%
　　盛大游戏　6.09　2.35%
　　巨人网络　7.03　0.43%
　　畅游　36.85　0.01%
　　第九城市　8.05　2.42%
　　完美时空　20.87　-2.43%
　　携程网　40.65　-5.40%
　　金融界　5.5　-2.65%
　　艺龙　14.25　0.00%
　　前程无忧　59.74　3.30%
　　掌上灵通　1.44　-2.04%
　　空中网　7.22　2.70%
　　酷6传媒　3.66　-0.81%
　　易居中国　13.78　-1.50%
　　如家快捷　34.4　1.56%
　　7天连锁　18.82　3.86%
　　新东方　95.16　0.31%
　　正保远程教育　4.37　-0.91%
　　华视传媒　4.6　2.00%
　　航美传媒　7.2　0.28%
　　新华悦动传媒　1.45　13.28%
　　永新视博　6.8　-0.58%
　　UT斯达康　2.35　0.00%
　　展讯通信　22.87　-4.47%
　　亚信科技　21.1　0.09%
　　中芯国际　4.58　-2.76%
　　中星微电子　3.15　-1.25%
　　炬力　2.38　0.42%
　　侨兴环球　2.56　1.99%
　　德信无线　4.15　-1.19%
　　无锡尚德　9.35　4.94%
　　文思信息　34.29　-0.61%
　　诺亚舟　2.02　3.06%
　　中华网　3.11　-0.64%
　　CDC软件　6.73　0.45%
　　侨兴移动　4.78　3.02%
　　国人通信　3.09　-2.22%
　　汉庭连锁酒店　17.99　0.67%
　　大华建设　1.31　-0.76%
　　搜房网　81.37　6.21%
　　蓝汛　17.4　1.52%
　　高德软件　16.01　0.09%
　　麦考林　5.53　1.66%
　　优酷网　29.89　1.15%
　　当当网　26　2.38%
　　博纳影业　7.36　-0.67%
　　斯凯　8.35　-8.94%
　　软通动力　19.66　-1.70%

