中国互联网公司周一涨跌互现
　　新浪科技讯 北京时间1月26日凌晨消息 投资者对伯南克将连任美联储主席职位抱有信心，推动周一美国股市收高。但早间公布的二手房销售数据大幅下滑，并且今后几天美国将公布一些重要经济数据，在此之前投资者情绪谨慎，使得今天股市涨幅受到限制。中国互联网公司涨跌互现。
　　美东时间周一下午16:00(北京时间1月26日05:00)，道琼斯工业平均指数上涨23.88点，收于10,196.86点，涨幅0.23%；纳斯达克综合指数上涨5.51点，收于2,210.80点，涨幅0.25%；标准普尔500指数上涨5.02点，收于1,096.78点，涨幅0.46%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	39.29	0.67%
　　CRIC	CRIC	8.82	-0.90%
　　网易	NTES	33.86	1.09%
　　搜狐	SOHU	56.25	0.45%
　　百度	BIDU	415.16	-0.42%
　　分众传媒	FMCN	16.44	2.49%
　　盛大	SNDA	48.47	-1.98%
　　盛大游戏	GAME	8.9	-7.39%
　　巨人网络	GA	7.35	-1.21%
　　畅游	CYOU	32.76	-0.70%
　　第九城市	NCTY	7.25	-3.20%
　　完美时空	PWRD	37.82	0.69%
　　携程网	CTRP	32.64	2.45%
　　金融界	JRJC	7.55	-2.83%
　　艺龙	LONG	10.75	-1.01%
　　前程无忧	JOBS	16.6	1.84%
　　掌上灵通	LTON	1.69	0.60%
　　空中网	KONG	10.76	-1.91%
　　华友世纪	HRAY	3.75	1.35%
　　易居中国	EJ	16.03	0.13%
　　如家快捷	HMIN	31.96	-1.11%
　　7天连锁	SVN	12.09	-3.67%
　　新东方	EDU	74.68	-0.17%
　　正保远程教育	DL	6.17	0.00%
　　华视传媒	VISN	9.15	-3.79%
　　航美传媒	AMCN	8.49	-0.82%
　　新华悦动传媒	XSEL	0.74	1.37%
　　永新视博	STV	6.18	-2.68%
　　UT斯达康	UTSI	2.36	12.38%
　　展讯通信	SPRD	6.96	5.94%
　　亚信科技	ASIA	24.4	-1.81%
　　中芯国际	SMI	3.96	-6.16%
　　中星微电子	VIMC	4.85	1.04%
　　炬力	ACTS	2.41	0.42%
　　侨兴环球	XING	2.05	-2.84%
　　德信无线	CNTF	3.44	0.88%
　　无锡尚德	STP	13.38	2.76%
　　文思信息	VIT	17.56	-4.04%
　　诺亚舟	NED	4.35	0.69%
　　中华网	CHINA	2.45	-2.78%
　　CDC软件	CDCS	10.21	-0.39%
　　侨兴移动	QXM	2.96	-7.50%
　　国人通信	GRRF	3.48	-1.97%

