中国概念股周三多数上涨 百度和斯凯创52周新高
　　新浪科技讯 北京时间3月24日凌晨消息，周三美股收高，原材料板块领涨。市场摆脱了海外利空因素的影响，日本灾后重建工作将耗费巨资的市场预期使原材料板块大幅上涨。中国概念股今日多数上涨，百度涨4.32%报132.58美元，创52周新高，市值超越腾讯成中国互联网企业第一；斯凯网络因与搜狐签署一年期广告协议大涨21.52%报11.52美元，创52周新高；中华网软件也大涨10.51%。
　　新浪涨4.12%报98.60美元，收盘价创历史新高；酷6传媒涨6.58%报3.10美元；侨兴环球涨7.25%报2.22美元；侨兴移动涨5.01%报4.40美元；蓝汛通信涨6.63%报21.38美元。另外，当当网下跌5.68%报19.92美元；博纳影业跌7.02%报6.18美元。
　　美东时间3月23日16:00(北京时间3月24日04:00)，道琼斯工业平均指数上涨67.47点，收于12,086.10点，涨幅0.56%；纳斯达克综合指数上涨14.43点，收于2,698.30点，涨幅0.54%；标准普尔500指数上涨3.77点，收于1,297.54点，涨幅0.29%。
　　股票　最新价　涨跌幅
　　新浪　98.6　4.12%
　　CRIC　7.68　1.05%
　　网易　46.22　0.78%
　　搜狐　82.41　2.82%
　　百度　132.58　4.32%
　　分众传媒　28.56　0.25%
　　盛大　42.24　-2.34%
　　盛大游戏　6.49　0.93%
　　巨人网络　7.44　-0.13%
　　畅游　32.35　-1.16%
　　第九城市　6.2　-3.13%
　　完美世界　21.53　-3.67%
　　携程网　37.26　-0.93%
　　金融界　4.71　1.73%
　　艺龙　13.98　3.86%
　　前程无忧　59.66　1.93%
　　掌上灵通　1.36　-1.45%
　　空中网　9.71　3.08%
　　酷6传媒　3.1　6.58%
　　易居中国　11.82　-1.58%
　　如家快捷　40.03　0.20%
　　7天连锁　20.25　1.91%
　　新东方　98.97　1.53%
　　正保远程教育　3.91　1.56%
　　华视传媒　4.06　0.50%
　　航美传媒　4.54　-1.30%
　　永新视博　6.98　1.31%
　　UT斯达康　2.36　0.43%
　　展讯通信　19.05　-1.14%
　　亚信科技　20.1　0.15%
　　中芯国际　3.87　2.38%
　　中星微电子　2.9　0.69%
　　炬力　2.53　1.61%
　　侨兴环球　2.22　7.25%
　　德信无线　4.29　3.37%
　　无锡尚德　8.83　3.52%
　　文思信息　30.24　0.03%
　　诺亚舟　2.06　0.49%
　　中华网　2.84　10.51%
　　CDC软件　5.11　3.76%
　　侨兴移动　4.4　5.01%
　　国人通信　3.46　-1.15%
　　汉庭连锁酒店　17　0.21%
　　大华建设　1.15　-4.16%
　　搜房网　16.91　0.59%
　　蓝汛　21.38　6.63%
　　高德软件　17.78　-0.17%
　　麦考林　5.31　1.72%
　　优酷网　46.96　-0.55%
　　当当网　19.92　-5.68%
　　博纳影业　6.18　-7.02%
　　斯凯　11.52　21.52%
　　软通动力　19.45　-1.42%
　　创博国际　4.85　-0.84%
　　海辉软件　20.19　-0.35%

