中国互联网公司周五收盘涨跌互现
　　新浪科技讯 北京时间7月10日凌晨消息 周五美国股市收高。从下周一开始，投资者将迎来上市公司第二季度财报。中国互联网公司周五收盘股价涨跌互现。
　　美东时间7月9日16:00(北京时间7月10日04:00)，道琼斯工业平均指数上涨58.73点，收于10,197.72点，涨幅 0.58%；纳斯达克综合指数上涨21.05点，收于2,196.45点，涨幅0.97%；标准普尔500指数上涨7.68点，收于1,077.93点，涨幅0.72%。
　　股票名称	最新价		涨跌幅
　　新浪		36.26		1.00%
　　CRIC		8.86		6.62%
　　网易		33.5		-1.00%
　　搜狐		41.25		0.66%
　　百度		71.2		-1.70%
　　分众传媒	17.06		3.27%
　　盛大		37.61		0.83%
　　盛大游戏	6		4.35%
　　巨人网络	7.1		1.72%
　　畅游		26.25		-1.80%
　　第九城市	4.23		1.44%
　　完美时空	24.55		-0.04%
　　携程网		36.73		4.20%
　　金融界		7.38		4.83%
　　艺龙		12.18		-0.49%
　　前程无忧	20.39		-1.21%
　　掌上灵通	1.37		0.74%
　　空中网		6.06		-0.33%
　　华友世纪	2.63		-0.75%
　　易居中国	16		2.50%
　　如家快捷	40.79		2.18%
　　7天连锁		11.6		-0.09%
　　新东方		101.43		2.73%
　　正保远程教育	3.5		0.00%
　　华视传媒	3.21		-3.60%
　　航美传媒	2.98		1.71%
　　新华悦动传媒	0.31		-2.52%
　　永新视博	6.07		1.51%
　　UT斯达康	2		-0.99%
　　展讯通信	9.01		1.92%
　　亚信科技	24.53		1.91%
　　中芯国际	3.54		-0.28%
　　中星微电子	4.6		0.66%
　　炬力		2.15		-0.92%
　　侨兴环球	1.54		1.99%
　　德信无线	2.81		1.08%
　　无锡尚德	11.37		3.93%
　　文思信息	25.73		-1.49%
　　诺亚舟		3.55		-1.39%
　　中华网		2.17		0.46%
　　CDC软件		7.8		3.31%
　　侨兴移动	2.46		1.23%
　　国人通信	1.74		3.57%
　　汉庭连锁酒店	14.6		0.34%

