中国概念股周四几乎全线上涨
　　新浪科技讯 北京时间7月10日凌晨消息，美股周四小幅上扬，零售额上月同店销售数字较为疲软，经济数据好坏参半。中国概念股今日几首全线上涨。
　　截至收盘，道琼斯工业平均指数上涨了4.76点，至8183.17点，涨幅为0.06%；纳斯达克综合指数上涨了5.38点，至1752.55点，涨幅为0.31%，标准普尔500指数上涨了3.12点，至882.68点，涨幅为0.35%。
　　股票 股价 涨跌幅
　　新浪 28.620 4.450%
　　网易 34.250 5.000%
　　搜狐 59.290 4.050%
　　百度 281.750 2.500%
　　分众传媒 7.840 3.700%
　　盛大 52.090 -2.180%
　　巨人网络 7.560 1.890%
　　畅游 39.510 6.070%
　　第九城市 9.080 3.530%
　　完美时空 29.530 5.500%
　　携程网 41.770 5.160%
　　金融界 9.990 8.820%
　　艺龙 6.500 1.400%
　　前程无忧 11.280 0.620%
　　掌上灵通 2.150 0.940%
　　空中网 9.850 4.120%
　　华友世纪 3.710 -0.270%
　　易居中国 15.560 6.140%
　　如家快捷 14.150 7.030%
　　新东方 61.920 0.990%
　　正保远程教育 6.500 -0.150%
　　华视传媒 5.370 -0.920%
　　航美传媒 5.380 -3.240%
　　新华悦动传媒 0.870 2.200%
　　永新视博 7.950 9.810%
　　UT斯达康 1.430 0.000%
　　展讯通信 2.500 1.960%
　　亚信科技 15.820 0.440%
　　中芯国际 2.470 2.490%
　　中星微电子 2.070 -1.330%
　　炬力 2.050 1.990%
　　侨兴环球 1.640 -2.380%
　　德信无线 2.160 0.470%
　　无锡尚德 15.630 2.560%
　　诺亚舟 3.800 1.870%
　　中华网 1.450 6.620%

