中国概念股周五早盘几乎全线下跌
　　新浪科技讯 美国东部时间9月26日10:00(北京时间9月26日22:00)消息，周五美国股市开盘大幅下滑。美国7000亿美元银行救援方案遭遇阻力，加上华盛顿互惠银行曝处出美国历史上最大的银行倒闭案，市场情绪紧张。美国第二季度GDP数字被调降至2.8%，低于市场预期，使主要股指受到沉重压力。受此影响，中国概念股周五早盘几乎全线下跌。
　　股票 股价   涨跌幅 
　　新浪 36.410 -2.700%
　　网易 22.430 -2.310%
　　搜狐 60.340 -3.300%
　　百度 263.890 -4.210%
　　分众传媒 29.410 -5.560%
　　盛大网络 29.160 -3.160%
　　巨人网络 6.960 -0.570%
　　第九城市 18.640 3.330%
　　完美时空 23.440 -1.470%
　　携程网 40.010 -5.080%
　　金融界 12.900 -5.660%
　　艺龙 7.000 0.860%
　　前程无忧 11.360 -1.470%
　　灵通网 1.440 0.000%
　　空中网 3.920 0.260%
　　华友世纪 2.680 -1.470%
　　易居中国 8.080 -4.720%
　　如家快捷 15.940 -0.380%
　　新东方 67.100 -1.770%
　　正保远程教育 3.750 6.140%
　　华视传媒 15.780 -3.430%
　　航美传媒 7.710 -2.530%
　　新华财经传媒 1.490 -12.870%
　　永新视博 8.460 -2.650%
　　UT斯达康 3.330 -3.760%
　　展讯通信 2.850 -1.720%
　　亚信 9.810 -1.900%
　　中芯国际 1.480 -3.270%
　　中星微 2.530 -3.800%
　　珠海炬力 2.630 -3.660%
　　侨兴环球 2.700 1.500%
　　德信无线 1.110 -6.720%
　　无锡尚德 40.030 -7.300%
　　诺亚舟 3.980 -15.140%
　　深圳迈瑞 36.270 -0.580%
　　CDC 2.120 -3.200% 


