美第三季最活跃风投公司出炉：德丰杰拔得头筹
　　新浪科技讯 北京时间10月20日上午消息，美国科技博客TechCrunch今天公布了第三季度及前三季度美国最活跃的25家风险投资公司，德丰杰在两个排行中均拔得头筹。
　　以下为今年第三季度和前三季度最活跃的25家风险投资公司清单：
　　第三季度最活跃的25家风险投资公司(单位：美元)
　　排名         风险投资公司                   交易数量     W/Value    投资金额    平均投资金额
　　1       德丰杰                                  17                17         129379646        7610567
　　2                红杉资本                                12                10         113300000        11330000
　　3       KPCB             11                   9          167500000        18611111
　　4             新企业联盟                               9                   9          254700000        28300000
　　5              基准投资                                  8                   8          151600000        18950000
　　6             英特尔资本                               8                   7       110050000       15721428
　　7             高原资本                                  8                   8           94730000        11841250
　　8       First Round Capital                   8                   8           27550000         3443750
　　9          Accel Partners                          7                  7           428900000      61271428
　　10      Foundation Capital                      7                  7           189900000      27128571
　　11       Flagship Ventures                       7                  7        116080000       16582857
　　12         Menlo Ventures                          7                  7           85990000       12284285
　　13          星火资本                                      6                  6          148500000       24750000
　　14          经纬创投                                      6                   6            91600000       15266666
　　15        Doll资本管理                               6                  6             87000000      14500000
　　16     Greylock Partners      6                   5             78500000       15700000
　　17    General Catalyst Partners             5                5            57400000       11480000
　　18          光速创投                                      5                 4             53000000       13250000
　　19         北极星投资                                    5                 5            49780000        9956000
　　20          寰慧投资                                       5                 5            40500000        8100000
　　21          红点投资                4                  4           398100000      99525000
　　22       Rho Capital Ventures                 4                  4             74950000       18737500
　　23       OVP Venture Partners                4                   4            71900000       17975000
　　24      Azure Capital Partners              4                   4             69000000      17250000
　　25  North Bridge Venture Partners           4            4             54000000       13500000
　　今年前三季度最活跃的25家风险投资公司(单位：美元)
　　排名  风险投资公司                  交易数量     W/Value     投资金额     平均投资金额
　　1    德丰杰            34          32             271493646        8484176
　　2    KPCB              32                 29            536800000        18510344
　　3               Accel Partners                     29                28             640790000        22885357
　　4                 英特尔资本                          29                23            284450000       12367391
　　5                 新企业联盟         26                  26          759430000        29208846
　　6                  红杉资本                             24                  22            250350000       11379545
　　7           First Round Capital               22                21             107150000        5102380
　　8                  高原资本                             20                  20          269230000       13461500
　　9                 基准投资                              18                 17            265290000        15605294
　　10           Canaan Partners                     17                  17            292000000       17176470
　　11            Menlo Ventures                     17                  17          208390000       12258235
　　12        Charles River Ventures             16               13             115500000         8884615
　　13             True Ventures       16                  15              34600000          2306666
　　14                Venrock                                15          14            275000000        19642857
　　15       Bessemer Venture Partners           15            15             247380000       16492000
　　16           Foundation Capital               15                 15             241150000       16076666
　　17            Greylock Partners                15                12            211850000        17654166
　　18                北极星投资                          15                15             141230000         9415333
　　19       General Catalyst Partners           15            15             131750000         8783333
　　20                红点投资                               14                14          710450000        50746428
　　21      North Bridge Venture Partners        14         13         126000000         9692307
　　22           Flagship Ventures    13                 13             172930000       13302307
　　23              DAG Ventures                         13                13             147300000       11330769
　　24           InterWest Partners   12                 11            189910000        17264545
　　25                光速创投                               12                11            169635000       15421363
　　(翻译/志翔)

