中国概念股周三早盘普涨
　　新浪科技讯 美国东部时间3月25日10:00(北京时间3月25日10:00)消息，美股周三小幅高开，美国商务部公布的2月耐用品订单数字意外大幅回升，给投资者带来惊喜。新屋销售数字报告将于美东时间10点公布。
　　道琼斯工业平均指数上涨了47点，至7708点；纳斯达克综合指数上涨了12点，至1528点；标准普尔500指数上涨了4点，至811点。
　　受大盘影响中国概念股周三早盘普涨。
　　股票名称 最新价 涨跌幅 
　　新浪 24.850 0.240% 
　　网易 24.870 0.480% 
　　搜狐 41.760 1.800% 
　　百度 191.980 1.950% 
　　分众传媒 6.650 1.060% 
　　盛大 38.030 1.680% 
　　巨人网络 6.910 1.320% 
　　第九城市 13.050 2.110% 
　　完美时空 13.140 0.310% 
　　携程网 28.740 0.030% 
　　金融界 9.500 2.260% 
　　艺龙 6.020 0.000% 
　　前程无忧 6.850 0.440% 
　　掌上灵通 1.400 7.690% 
　　空中网 5.240 0.740% 
　　华友世纪 1.300 0.000% 
　　易居中国 8.360 1.700% 
　　如家快捷 9.690 0.410% 
　　新东方 53.550 4.410% 
　　正保远程教育 5.650 1.250% 
　　华视传媒 6.630 -0.600% 
　　航美传媒 4.340 3.330% 
　　新华悦动传媒 0.520 0.020% 
　　永新视博 7.580 -0.130% 
　　UT斯达康 0.770 2.480% 
　　展讯通信 0.990 1.020% 
　　亚信科技 15.290 3.030% 
　　中芯国际 1.830 1.100% 
　　中星微电子 1.790 -1.100% 
　　炬力 1.470 -1.340% 
　　侨兴环球 1.360 -0.730% 
　　德信无线 1.210 0.830% 
　　无锡尚德 8.050 4.410% 
　　文思信息 4.730 1.070% 
　　诺亚舟 3.040 -0.650% 
　　中华网 1.120 -0.880% 


