中国互联网公司周五涨跌互现
　　新浪科技讯 北京时间3月13日凌晨消息 周五美国股市收盘涨跌不一，主要股指在持平水平反复震荡。本周美国股市收高，为连续第二个星期上涨。中国互联网公司涨跌互现。
　　美东时间周五16:00(北京时间3月13日05:00)，道琼斯工业平均指数上涨12.85点，报10,624.69点，涨幅0.12%；纳斯达克综合指数下跌0.80点，报2,367.66点，跌幅0.03%；标准普尔500指数下跌0.25点，报1,149.99点，跌幅0.02%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	41.21	0.20%
　　CRIC	CRIC	10.04	-0.79%
　　网易	NTES	40.2	0.42%
　　搜狐	SOHU	54.62	0.35%
　　百度	BIDU	550.24	-0.70%
　　分众传媒	FMCN	16.43	0.86%
　　盛大	SNDA	42.64	0.31%
　　盛大游戏	GAME	6.75	-0.44%
　　巨人网络	GA	7.71	0.13%
　　畅游	CYOU	31.97	0.76%
　　第九城市	NCTY	7.24	0.56%
　　完美时空	PWRD	39.9	-0.33%
　　携程网	CTRP	38.65	-0.39%
　　金融界	JRJC	7.93	0.89%
　　艺龙	LONG	11.25	0.09%
　　前程无忧	JOBS	18.36	0.94%
　　掌上灵通	LTON	1.8	1.69%
　　空中网	KONG	7.4	-1.73%
　　华友世纪	HRAY	3.24	3.85%
　　易居中国	EJ	19.71	-3.95%
　　如家快捷	HMIN	32.77	0.18%
　　7天连锁	SVN	11.09	-1.07%
　　新东方	EDU	85.65	4.39%
　　正保远程教育	DL	5.88	-0.51%
　　华视传媒	VISN	4.77	-0.83%
　　航美传媒	AMCN	7.19	0.28%
　　新华悦动传媒	XSEL	0.62	-1.73%
　　永新视博	STV	7.5	-1.96%
　　UT斯达康	UTSI	2.19	0.00%
　　展讯通信	SPRD	6.33	-2.62%
　　亚信科技	ASIA	28.29	-2.45%
　　中芯国际	SMI	5.18	0.97%
　　中星微电子	VIMC	4.29	-0.92%
　　炬力	ACTS	2.4	1.27%
　　侨兴环球	XING	1.89	0.53%
　　德信无线	CNTF	3.25	0.31%
　　无锡尚德	STP	14.26	-1.59%
　　文思信息	VIT	22.47	1.77%
　　诺亚舟	NED	4.85	-2.02%
　　中华网	CHINA	2.83	-0.70%
　　CDC软件	CDCS	11.68	-0.17%
　　侨兴移动	QXM	2.29	-1.72%
　　国人通信	GRRF	3.45	-0.58%

