中国互联网公司周四股价多数下跌
　　新浪科技讯 北京时间11月13日凌晨消息，受能源股下跌拖累，美股周四低收，最新数据显示上周美国原油(76.68,-2.60,-3.28%)库存意外增加。金融与电讯板块也有所下跌。与此同时，中国互联网公司周四股价多数下跌，其中空中网下跌7.01%，但是艺龙大涨了20.03%。
　　截至收盘，道琼斯工业平均指数下跌了93.79点，至10197.47点，跌幅为0.91%；纳斯达克综合指数下跌了17.88点，至2149.02点，跌幅为0.83%；标准普尔500指数下跌了11.27点，至1087.24点，跌幅为1.03%。
　　股票名称		最新价		涨跌幅
　　新浪		42.15		-0.45%
　　CRIC		13.86		4.76%
　　网易		41.65		-1.65%
　　搜狐		55.59		-1.16%
　　百度		427.15		-0.78%
　　分众传媒		12.74		-2.90%
　　盛大		47.9		-0.77%
　　盛大游戏		10.36		-2.36%
　　巨人网络		7.09		0.42%
　　畅游		32.76		-2.44%
　　第九城市		7.56		-0.26%
　　完美时空		46.97		-3.15%
　　携程网		69.02		7.36%
　　金融界		8.82		-3.08%
　　艺龙		16.96		20.03%
　　前程无忧		17.32		0.58%
　　掌上灵通		2.08		0.00%
　　空中网		14.07		-7.01%
　　华友世纪		6		-0.17%
　　易居中国		19.48		-0.56%
　　如家快捷		34.54		-5.01%
　　新东方		73.24		1.74%
　　正保远程教育		7.1		0.00%
　　华视传媒		8.28		-3.27%
　　航美传媒		6.87		-5.63%
　　新华悦动传媒		1.16		-1.69%
　　永新视博		6.03		-1.15%
　　UT斯达康		1.84		-1.08%
　　展讯通信		5.25		0.19%
　　亚信科技		24.11		-5.86%
　　中芯国际		3.7		-4.64%
　　中星微电子		4.01		-0.74%
　　炬力		2.38		-0.83%
　　侨兴环球		2.03		-0.98%
　　德信无线		3.51		0.57%
　　无锡尚德		12.9		-1.60%
　　文思信息		17.02		-2.85%
　　诺亚舟		5.54		2.97%
　　中华网		2.44		-1.61%
　　CDC软件		9.99		-1.09%
　　侨兴移动		4.35		-4.56%
　　国人通信		4.57		-6.92%

