PC World：全球100家历史最悠久商业网站
　　导语：《PC World》近日评出了100家历史最“悠久”的商业网站，虽然说“悠久”，但实际上，这些商业网站依旧很年轻，问世不过20多年。在这20多年里，互联网发生了翻天覆地的变化，首批问世的商业网站中，许多已经不复存在。
　　第一个商业域名诞生于1985年，当时PC操作系统还是MS-DOS 3.0，大多数都运营在Tandy 1000个人电脑中。当时，一家刚刚成立的名为“戴尔”的公司计划推出第一款PC“Turbo PC”，而Commodore公司的“Amiga 1000”电脑也即将上市销售。
　　就在1985年3月15日，计算机制造商symbolics公司注册了symbolics.com域名。symbolics在90年代初破产，易主后的symbolics.com网站仍然在运行。这意味着symbolics.com是仍然在使用的“最古老”的域名。
　　在这些历史最“悠久”的域名中，有一些我们耳熟能详的名字。排在第九位的hp.com注册时间是1986年3月3日，IBM两周后注册了自己的域名。AT&T于同年4月获得了域名，苹果则在1987年拥有了自己的域名。
　　尽管有些网站按时间计算没有排在前100位，但也值得我们关注。微软1991年5月获得了microsoft.com域名，《PC World》1992年4月推出了网络版，雅虎1995年1月在互联网“安营扎寨”，google.com则于1997年9月上线。(清泉)
　　       网站名称         诞生日期
　　1. symbolics.com        1985年3月15日
　　2. bbn.com              1985年4月24日 
　　3. think.com            1985年5月24日 
　　4. mcc.com              1985年7月11日 
　　5. dec.com              1985年9月30日
　　6. northrop.com         1985年11月7日
　　7. xerox.com            1986年1月9日
　　8. sri.com              1986年1月17日
　　9. hp.com               1986年3月3日
　　10. bellcore.com        1986年3月5日
　　11. ibm.com             1986年3月19日
　　12. sun.com             1986年3月19日
　　13. intel.com           1986年3月25日
　　14. ti.com              1986年3月25日
　　15. att.com             1986年4月25日
　　16. gmr.com             1986年5月8日
　　17. tek.com             1986年5月8日
　　18. fmc.com             1986年7月10日
　　19. ub.com              1986年7月10日
　　20. bell-atl.com        1986年8月5日
　　21. ge.com              1986年8月5日
　　22. grebyn.com          1986年8月5日
　　23. isc.com             1986年8月5日
　　24. nsc.com             1986年8月5日
　　25. stargate.com        1986年8月5日
　　26. boeing.com          1986年9月2日
　　27. itcorp.com          1986年9月18日
　　28. siemens.com         1986年9月29日
　　29. pyramid.com         1986年10月18日
　　30. alphacdc.com        1986年10月27日
　　31. bdm.com             1986年10月27日
　　32. fluke.com           1986年10月27日
　　33. inmet.com           1986年10月27日
　　34. kesmai.com          1986年10月27日
 　 35. mentor.com          1986年10月27日
　　36. nec.com             1986年10月27日
　　37. ray.com             1986年10月27日
　　38. rosemount.com       1986年10月27日
　　39. vortex.com          1986年10月27日
　　40. alcoa.com           1986年11月5日
　　41. gte.com             1986年11月5日
　　42. adobe.com           1986年11月17日
　　43. amd.com             1986年11月17日
　　44. das.com             1986年11月17日
　　45. data-io.com         1986年11月17日
　　46. octopus.com         1986年11月17日
　　47. portal.com          1986年11月17日
　　48. teltone.com         1986年11月17日
　　49. 3com.com            1986年12月11日
　　50. amdahl.com          1986年12月11日


