中国概念股周一多数下跌 新浪逆势涨5.5%创新高
　　新浪科技讯 北京时间11月30日凌晨消息，周一美国股市收低，但已远离盘中最低点。尽管欧盟达成了援助爱尔兰的1126.1亿美元救援计划，但投资者仍然担心该计划不足以防止欧元区债务危机蔓延，导致股市下跌。中国概念股今日多数下跌，新浪逆市大涨5.47%报65.19美元，股价创历史新高。
　　美东时间11月29日16:00(北京时间11月30日05:00)，道琼斯工业平均指数下跌39.51点，收于11,052.49点，跌幅0.36%；纳斯达克综合指数下跌9.34点，收于2,525.22点，跌幅0.37%；标准普尔500指数下跌1.64点，收于1,187.76点，跌幅0.14%。
　　今天盘中道指最多曾下跌近163点，为10月份以来最低值。道指科技成分股遭受重创，其中惠普(HPQ)等收低。
　　中国概念股周一多数下跌。新浪逆市大涨5.47%，报65.19美元，股价创历史新高；正保远程教育跌5.56%，报4.76美元；九城、国人通信以及蓝汛通信三公司股价跌幅超4%。
　　股票　最新价　涨跌幅
　　新浪　65.19　5.47%
　　CRIC　9.29　0.43%
　　网易　38.6　-0.82%
　　搜狐　72.84　-1.07%
　　百度　107.47　-1.74%
　　分众传媒　24.04　0.50%
　　盛大　39.98　0.35%
　　盛大游戏　5.66　0.00%
　　巨人网络　7.04　-0.46%
　　畅游　29.93　-1.06%
　　第九城市　6.67　-4.03%
　　完美时空　24.6　-0.45%
　　携程网　46.39　-1.47%
　　金融界　7.94　-0.75%
　　艺龙　19.25　-1.89%
　　前程无忧　50.74　0.52%
　　掌上灵通　1.44　0.71%
　　空中网　7.15　2.58%
　　酷6传媒　5.42　-1.09%
　　易居中国　13.86　0.29%
　　如家快捷　48.04　-0.70%
　　7天连锁　24　1.31%
　　新东方　106.02　-1.88%
　　正保远程教育　4.76　-5.56%
　　华视传媒　3.64　0.83%
　　航美传媒　7.01　1.45%
　　新华悦动传媒　0.25　1.04%
　　永新视博　8.63　1.53%
　　UT斯达康　2.11　0.00%
　　展讯通信　16.54　-1.08%
　　亚信科技　17.06　-2.46%
　　中芯国际　3.78　2.44%
　　中星微电子　3.38　0.90%
　　炬力　2.14　2.88%
　　侨兴环球　1.79　1.70%
　　德信无线　3.97　-3.40%
　　无锡尚德　7.27　-0.68%
　　文思信息　37.48　-0.05%
　　诺亚舟　1.99　0.51%
　　中华网　4　-1.48%
　　CDC软件　7.28　0.28%
　　侨兴移动　3.8　-1.81%
　　国人通信　2.81　-4.74%
　　汉庭连锁酒店　23.9　-0.42%
　　大华建设　0.66　1.60%
　　搜房网　76.29　-0.27%
　　蓝汛　29.2　-4.39%
　　高德软件　19.75　-0.75%
　　麦考林　13.31　4.15%

