中国互联网公司周五普跌 新华悦动传媒大跌15%
　　新浪科技讯  美国东部时间4月16日16:00(北京时间4月17日4:00)消息，受到高盛被指控欺诈的消息影响，周五美国股市大幅收低，银行板块领跌大盘。美国证管会指控高盛在某种次级贷款金融产品方面存在欺诈和误导投资者的行为，导致金融和商品期货类股遭到抛售。中国互联网公司周五普跌。
　　截至收盘，纳斯达克综合指数下跌34.43点，收于2,481.26点，跌幅1.37%；道琼斯工业平均指数下跌125.91点，收于11,018.66点，跌幅1.13%；标准普尔500指数下跌19.54点，收于1,192.13点，跌幅1.61%。
　　中国互联网公司周五收盘普跌。新华悦动传媒(Nasdaq:XSEL)跌14.74%，搜狐(Nasdaq:SOHU)跌5.08%。
　　股票名称		最新价		涨跌幅
　　新浪		37.7		-3.11%
　　CRIC		9.4		-2.49%
　　网易		35.1		-2.01%
　　搜狐		50.29		-5.08%
　　百度		632.37		-2.56%
　　分众传媒		17.44		-1.52%
　　盛大		45.05		0.38%
　　盛大游戏		7.4		-1.60%
　　巨人网络		7.93		-0.88%
　　畅游		32.87		-3.58%
　　第九城市		6.93		-3.21%
　　完美时空		34.32		-1.18%
　　携程网		39.08		-2.25%
　　金融界		7.49		-1.45%
　　艺龙		11.63		-2.92%
　　前程无忧		18.58		-2.26%
　　掌上灵通		1.69		-0.54%
　　空中网		7.85		-1.01%
　　华友世纪		3.36		-2.89%
　　易居中国		18.43		-3.96%
　　如家快捷		33.51		-1.99%
　　7天连锁		10.32		-2.55%
　　新东方		90.58		-2.66%
　　正保远程教育		5.82		1.22%
　　华视传媒		4.7		-4.08%
　　航美传媒		6.23		-0.64%
　　新华悦动传媒		0.66		-14.74%
　　永新视博		7.29		-3.83%
　　UT斯达康		3		-1.32%
　　展讯通信		6.36		-1.09%
　　亚信科技		28.71		1.59%
　　中芯国际		6.02		-4.90%
　　中星微电子		4.47		0.68%
　　炬力		2.38		2.15%
　　侨兴环球		1.83		-2.66%
　　德信无线		2.6		-0.38%
　　无锡尚德		14.44		-5.93%
　　文思信息		24.3		-0.33%
　　诺亚舟		5.1		-2.86%
　　中华网		2.97		-5.11%
　　CDC软件		10.84		-0.50%
　　侨兴移动		2.9		-1.02%
　　国人通信		2.71		-3.90%
　　汉庭连锁酒店		15.25		-2.12%

