中国概念股周三普跌 新浪逆势涨3.5%创新高
　　新浪科技讯 北京时间12月9日早间消息，随着美元汇率大幅上涨，周三美国股市收高。在布什减税政策可能延期的预期推动下，金融板块普遍攀升。中国概念股周三普遍下跌，其中，新浪逆市上涨3.47%收于71.50美元，再创历史新高。
　　当当网和优酷网周三均在纽交所上市，受投资者热捧，IPO首日分别大涨86.94%和168.59%。
　　另外，易车网跌7.97%报10.04美元，创上市以来新低；新华悦动传媒跌9.62%报0.19美元。
　　美东时间12月8日16:00(北京时间12月9日05:00)，道琼斯工业平均指数上涨13.32点，收于11,372.48点，涨幅0.12%；纳斯达克综合指数上涨10.67点，收于2,609.16点，涨幅0.41%；标准普尔500指数上涨4.53点，收于1,228.28点，涨幅0.37%。
　　股票　最新价　涨跌幅
　　新浪　71.5　3.48%
　　CRIC　8.59　-4.56%
　　网易　38.21　-1.67%
　　搜狐　75.86　-1.49%
　　百度　108.07　-1.47%
　　分众传媒　22.23　-5.84%
　　盛大　38.91　-0.31%
　　盛大游戏　6.07　-0.65%
　　巨人网络　7.1　0.00%
　　畅游　28.63　-5.36%
　　第九城市　6.48　0.00%
　　完美时空　23.87　-0.46%
　　携程网　43.87　-5.15%
　　金融界　7.12　-0.14%
　　艺龙　17.01　0.13%
　　前程无忧　53.03　1.98%
　　掌上灵通　1.62　0.00%
　　空中网　6.94　0.14%
　　酷6传媒　6.25　-2.34%
　　易居中国　13.84　-2.88%
　　如家快捷　44.47　-1.75%
　　7天连锁　22.79　-5.20%
　　新东方　101.15　-0.34%
　　正保远程教育　4.75　-2.46%
　　华视传媒　3.81　3.25%
　　航美传媒　7.23　-2.03%
　　新华悦动传媒　0.19　-9.62%
　　永新视博　8.49　-0.12%
　　UT斯达康　1.93　-4.93%
　　展讯通信　16.85　-1.63%
　　亚信科技　16.28　-6.44%
　　中芯国际　3.8　-2.06%
　　中星微电子　3.39　0.30%
　　炬力　2.09　-0.95%
　　侨兴环球　1.83　5.17%
　　德信无线　3.9　-0.51%
　　无锡尚德　8.32　-5.24%
　　文思信息　36.12　-0.83%
　　诺亚舟　1.94　-1.52%
　　中华网　3.36　3.38%
　　CDC软件　5.82　0.34%
　　侨兴移动　3.63　-2.42%
　　国人通信　2.96　3.14%
　　汉庭连锁酒店　21.2　-1.62%
　　大华建设　0.51　-1.90%
　　搜房网　75.38　-3.37%
　　蓝汛　26.51　-4.71%
　　高德软件　17.17　-2.99%
　　麦考林　6.79　2.88%
　　优酷网　34.38　168.59%
　　当当网　29.91　86.94%

