中国概念股周三几乎全线上涨 奇虎大涨6.43%
　　新浪科技讯 北京时间4月14日凌晨消息，周三美股收高。美联储在褐皮书中认为日本现在的危机对美国经济存在一定的影响，但美国经济的整体状况有所好转。中国概念股几乎全线上涨，Jeffries给予新浪买入评级，目标价定为150美元，受此消息影响，新浪大涨7.8%报119.95美元；奇虎大涨6.43%报25.65美元。
　　另外，展讯通信涨6.94%报20.65美元；前程无忧涨5.00%报61.48美元；百度涨3.54%报145.69美元；
　　美东时间4月13日16:00(北京时间4月14日04:00)，道琼斯工业平均指数上涨7.41点，收于12,270.99点，涨幅0.06%；纳斯达克综合指数上涨16.73点，收于2,761.52点，涨幅0.61%；标准普尔500指数上涨0.26点，收于1,314.42点，涨幅0.02%。
　　股票　最新价　涨跌幅
　　新浪　119.95　7.80%
　　CRIC　8.32　-1.77%
　　网易　52.58　1.23%
　　搜狐　96.32　3.33%
　　百度　145.69　3.54%
　　分众传媒　32.09　2.69%
　　盛大　43.08　1.32%
　　盛大游戏　6.68　1.98%
　　巨人网络　7.86　2.61%
　　畅游　34.6　0.93%
　　第九城市　6.61　1.07%
　　完美世界　23.91　-0.18%
　　携程网　44.9　0.61%
　　金融界　4.55　-5.60%
　　艺龙　14.68　2.38%
　　前程无忧　61.48　5.00%
　　掌上灵通　1.31　2.34%
　　空中网　9.95　0.61%
　　酷6传媒　3.97　3.66%
　　易居中国　12.8　1.55%
　　如家快捷　42　1.42%
　　7天连锁　22.44　3.41%
　　新东方　112.91　0.01%
　　正保远程教育　3.52　0.86%
　　华视传媒　3.95　1.28%
　　航美传媒　4.96　-0.80%
　　永新视博　7.13　0.42%
　　UT斯达康　2.51　-0.40%
　　展讯通信　20.65　6.94%
　　亚信科技　19.66　-0.96%
　　中芯国际　3.82　2.69%
　　中星微电子　2.9　0.35%
　　炬力　2.44　2.52%
　　侨兴环球　2.18　0.00%
　　德信无线　4.11　-0.48%
　　无锡尚德　9.34　1.19%
　　文思信息　34.03　0.09%
　　诺亚舟　2.34　4.00%
　　中华网　2.39　1.27%
　　CDC软件　4.77　1.38%
　　侨兴移动　3.06　0.99%
　　国人通信　3.15　0.32%
　　汉庭连锁酒店　21.23　1.58%
　　联游网络　1.23　2.49%
　　搜房网　21.22　0.62%
　　蓝汛　16.19　0.50%
　　高德软件　18.02　0.67%
　　麦考林　5.36　-1.65%
　　优酷网　57.39　8.20%
　　当当网　19.91　2.79%
　　博纳影业　6.21　0.81%
　　斯凯　12.68　1.52%
　　软通动力　18.63　2.82%
　　创博国际　3.8　-4.76%
　　海辉软件　20.11　0.65%
　　奇虎360　25.65　6.43%

