美股连续下跌中国概念股周三普跌
　　新浪科技讯 北京时间11月13日早消息，美股周三连续第三个交易日下跌，上市公司的财报继续令投资者失望，美国政府决定不再买进银行问题抵押贷款资产；百思买下调2009财年每股收益与营收目标为消费者开支的下降趋势提供了又一个的证据。受大盘影响，中国概念股普跌。
　　截至周三收盘，道琼斯工业平均指数下跌了411.30点，报收8282.66点，跌幅为4.73%。标准普尔500指数下跌了46.65点，报收852.30点，跌幅为5.19%；纳斯达克综合指数下跌了81.69点，报收1499.21点，跌幅为5.17%。
　　受大盘影响，中国概念股周三早盘几乎全线下跌，其中新华财经传媒(-13.44%)、中芯国际(-11.11%)、CDC(-17.31%)、诺亚舟(-11.71%)、无锡尚德(-19.42%)等股票跌幅超过10%。
　　股票名称　收盘价　涨跌幅
　　新浪　26.01　-3.06%
　　网易　19.77　-5.72%
　　搜狐　40.97　-6.27%
　　百度　182.99　-4.11%
　　分众传媒　8.00　-9.40%
　　盛大网络　23.26　-3.65%
　　巨人网络　5.98　-3.55%
　　第九城市　1.23　0.82%
　　完美时空　17.16　-5.87%
　　携程网　23.56　-9.38%
　　金融界　8.09　-9.300%
　　艺龙　7.07　-1.81%
　　前程无忧　6.44　-0.92%
　　灵通网　0.85　-4.49%
　　空中网　2.83　-5.35% 
　　华友世纪　1.59　-5.92% 
　　易居中国　4.62　-9.77% 
　　如家快捷　8.18　2.76% 
　　新东方　53.43　-4.32% 
　　正保远程教育　3.84　1.05% 
　　华视传媒　5.24　-6.43% 
　　航美传媒　4.40　-9.84% 
　　新华财经传媒　0.95　-13.44% 
　　永新视博　5.12　-7.58% 
　　UT斯达康　1.64　-6.82% 
　　展讯通信　0.970　-2.02% 
　　亚信　10.14　-4.43% 
　　中芯国际　1.04　-11.11% 
　　中星微　2.05　-4.21% 
　　珠海炬力　1.62　-5.81% 
　　侨兴环球　1.8　-8.63% 
　　德信无线　0.81　-2.42%
　　无锡尚德　10.21　-19.42% 
　　文思信息　7.03　-0.03% 
　　诺亚舟　2.11　-11.71% 
　　CDC　0.86　-17.31% 

　　新浪科技讯 北京时间11月13日早消息，美股周三连续第三个交易日下跌，上市公司的财报继续令投资者失望，美国政府决定不再买进银行问题抵押贷款资产；百思买下调2009财年每股收益与营收目标为消费者开支的下降趋势提供了又一个的证据。受大盘影响，中国概念股普跌。
　　截至周三收盘，道琼斯工业平均指数下跌了411.30点，报收8282.66点，跌幅为4.73%。标准普尔500指数下跌了46.65点，报收852.30点，跌幅为5.19%；纳斯达克综合指数下跌了81.69点，报收1499.21点，跌幅为5.17%。
　　受大盘影响，中国概念股周三早盘几乎全线下跌，其中新华财经传媒(-13.44%)、中芯国际(-11.11%)、CDC(-17.31%)、诺亚舟(-11.71%)、无锡尚德(-19.42%)等股票跌幅超过10%。
　　股票名称　收盘价　涨跌幅
　　新浪　26.01　-3.06%
　　网易　19.77　-5.72%
　　搜狐　40.97　-6.27%
　　百度　182.99　-4.11%
　　分众传媒　8.00　-9.40%
　　盛大网络　23.26　-3.65%
　　巨人网络　5.98　-3.55%
　　第九城市　1.23　0.82%
　　完美时空　17.16　-5.87%
　　携程网　23.56　-9.38%
　　金融界　8.09　-9.300%
　　艺龙　7.07　-1.81%
　　前程无忧　6.44　-0.92%
　　灵通网　0.85　-4.49%
　　空中网　2.83　-5.35% 
　　华友世纪　1.59　-5.92% 
　　易居中国　4.62　-9.77% 
　　如家快捷　8.18　2.76% 
　　新东方　53.43　-4.32% 
　　正保远程教育　3.84　1.05% 
　　华视传媒　5.24　-6.43% 
　　航美传媒　4.40　-9.84% 
　　新华财经传媒　0.95　-13.44% 
　　永新视博　5.12　-7.58% 
　　UT斯达康　1.64　-6.82% 
　　展讯通信　0.970　-2.02% 
　　亚信　10.14　-4.43% 
　　中芯国际　1.04　-11.11% 
　　中星微　2.05　-4.21% 
　　珠海炬力　1.62　-5.81% 
　　侨兴环球　1.8　-8.63% 
　　德信无线　0.81　-2.42%
　　无锡尚德　10.21　-19.42% 
　　文思信息　7.03　-0.03% 
　　诺亚舟　2.11　-11.71% 
　　CDC　0.86　-17.31% 


