美股周三走软中国概念股涨跌互现
　　新浪科技讯 北京时间7月23日凌晨消息，受能源股下跌影响，美股周三大多走软，唯纳指收高，连续第11个交易日上涨。中国概念股周三涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了34.68点，至8881.26点，跌幅为0.39%；纳斯达克综合指数上涨了10.18点，至1926.38点，涨幅为0.53%；标准普尔500指数下跌了0.52点，至954.06点，跌幅为0.05%。
　　股票 股价 涨跌幅
　　新浪 33.320 2.240%
　　网易 43.600 4.760%
　　搜狐 66.320 3.530%
　　百度 324.560 -2.260%
　　分众传媒 8.430 -0.470%
　　盛大 61.930 7.200%
　　巨人网络 8.010 -0.500%
　　畅游 44.890 1.910%
　　第九城市 9.220 1.770%
　　完美时空 34.610 3.310%
　　携程网 47.870 -0.190%
　　金融界 11.980 5.460%
　　艺龙 6.540 -0.910%
　　前程无忧 11.340 -0.960%
　　掌上灵通 2.090 -4.570%
　　空中网 11.950 -0.750%
　　华友世纪 3.810 -1.040%
　　易居中国 17.930 -0.610%
　　如家快捷 16.670 0.480%
　　新东方 67.270 0.400%
　　正保远程教育 7.810 4.410%
　　华视传媒 6.550 0.920%
　　航美传媒 5.800 -1.530%
　　新华悦动传媒 0.920 5.750%
　　永新视博 8.360 -1.300%
　　UT斯达康 1.730 0.000%
　　展讯通信 2.570 4.900%
　　亚信科技 17.600 0.570%
　　中芯国际 2.730 -0.730%
　　中星微电子 2.470 3.350%
　　炬力 2.190 -3.950%
　　侨兴环球 1.830 0.550%
　　德信无线 2.200 -1.790%
　　无锡尚德 17.880 0.450%
　　诺亚舟 4.060 4.100%
　　中华网 2.280 2.710%

