中国互联网公司周二涨跌互现
　　新浪科技讯 北京时间11月4日早间消息，美股周二涨跌互见，工业与原材料板块领涨，但大宗消费品板块有所下跌。中国互联网公司周二涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了17.53点，至9771.91点，跌幅为0.18%；纳斯达克综合指数上涨了8.12点，至2057.32点，涨幅为0.40%；标准普尔500指数上涨了2.53点，至1045.41点，涨幅为0.24%。中国互联网公司涨跌互现。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	38.65	0.00%
　　CRIC	CRIC	11.81	0.43%
　　网易	NTES	38.15	1.22%
　　搜狐	SOHU	52.79	-2.37%
　　百度	BIDU	383.04	2.02%
　　分众传媒	FMCN	12.43	0.89%
　　盛大	SNDA	45.29	0.20%
　　盛大游戏	GAME	10.69	4.09%
　　巨人网络	GA	7.24	-0.28%
　　畅游	CYOU	30.71	1.19%
　　第九城市	NCTY	7.94	1.53%
　　完美时空	PWRD	43.11	-0.30%
　　携程网	CTRP	55.96	2.57%
　　金融界	JRJC	8.32	2.72%
　　艺龙	LONG	12.21	3.47%
　　前程无忧	JOBS	15.5	1.04%
　　掌上灵通	LTON	2.07	0.98%
　　空中网	KONG	15.19	2.08%
　　华友世纪	HRAY	6.1	-0.33%
　　易居中国	EJ	17.84	0.79%
　　如家快捷	HMIN	28.53	3.75%
　　新东方	EDU	67.26	-0.81%
　　正保远程教育	DL	6.98	-1.41%
　　华视传媒	VISN	8.86	5.23%
　　航美传媒	AMCN	7.94	-1.24%
　　新华悦动传媒	XSEL	1.19	2.59%
　　永新视博	STV	6.82	1.64%
　　UT斯达康	UTSI	1.81	4.62%
　　展讯通信	SPRD	5.44	-0.73%
　　亚信科技	ASIA	22.13	-1.60%
　　中芯国际	SMI	2.42	-2.42%
　　中星微电子	VIMC	3.44	-1.71%
　　炬力	ACTS	2.45	-0.41%
　　侨兴环球	XING	2.04	0.49%
　　德信无线	CNTF	3.08	0.98%
　　无锡尚德	STP	12.76	3.07%
　　文思信息	VIT	16.75	11.37%
　　诺亚舟	NED	4.74	-0.42%
　　中华网	CHINA	2.42	2.98%
　　CDC软件	CDCS	9.2	0.00%
　　侨兴移动	QXM	4.46	16.15%
　　国人通信	GRRF	4	-4.76%

