中国概念股周四几乎全线下跌
　　新浪科技讯 美国东部时间8月7日(北京时间8月8日)消息，由于原油价格回升、美国国际集团(AIG)因减记更多抵押贷款相关资产而发生53.6亿美元巨额亏损、以及沃尔玛(WMT)发布八月份销售增长速度可能放缓的预警，政府数据显示上周首次申请失业救济人数增加等原因，美国投资者情绪明显受到打压，美股周四大幅下跌，结束了连续两个交易日上涨的势头，中国概念股几乎全线下跌。
　　纳斯达克综合指数下跌了22.64点，至2355.73点，跌幅为0.95%。
　　股票　　股价　　涨跌幅
　　新浪　　40.55　　-7.72%
　　网易　　23.15　　-5.05%
　　搜狐　　71.95　　-6.80%
　　百度　　327.62　　-3.30%
　　分众传媒　　26.62　　-5.90%
　　盛大网络　　26.14　　-6.24%
　　巨人网络　　9.18　　0.33%
　　第九城市　　24.35　　-1.93%
　　完美时空　　26.58　　-3.77%
　　灵通网　　1.48　　-2.95%
　　空中网　　3.96　　-0.25%
　　华友世纪　　2.94　　-0.00%
　　金融界　　16.12　　-5.01%
　　携程网　　45.05　　-3.37%
　　亿龙　　7.11　　-0.70%
　　前程无忧　　12.10　　-19.97%
　　新华财经传媒　　2.29　　-3.38%
　　UT斯达康　　3.38　　-27.47%
　　亚信　　12.93　　-9.01%
　　侨兴环球　　4.14　　-2.13%
　　展讯通信　　4.40　　-4.97%
　　德信无线　　3.21　　-3.02%
　　中芯国际　　2.51　　-8.73%
　　中星微　　2.92　　1.74%
　　炬力　　3.05　　-0.97%
　　国人通信　　4.22　　-1.40%
　　新东方　　73.75　　-0.24%
　　正保远程教育　　6.44　　0.00%
　　如家快捷　　16.22　　-0.67%
　　航美传媒　　12.33　　5.88%
　　华视传媒　　20.06　　-11.67%
　　易居中国　　9.86　　-5.47%
　　中华网投资集团　　3.05　　-5.17%


