中国互联网公司周四涨跌互现
　　新浪科技讯 北京时间3月12日凌晨消息 周四美国股市先抑后扬，在银行板块的推动下美股收盘小幅上涨。中国互联网公司涨跌互现。
　　美东时间周四16:00(北京时间3月12日05:00)，道琼斯工业平均指数上涨44.36点，收于10,611.69点，涨幅0.42%；纳斯达克综合指数上涨9.51点，收于2,368.46点，涨幅0.40%；标准普尔500指数上涨4.63点，收于1,150.24点，涨幅0.40%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	41.13	-0.60%
　　CRIC	CRIC	10.12	-2.22%
　　网易	NTES	40.03	0.50%
　　搜狐	SOHU	54.43	-0.22%
　　百度	BIDU	554.1	0.90%
　　分众传媒	FMCN	16.29	0.49%
　　盛大	SNDA	42.51	1.05%
　　盛大游戏	GAME	6.78	0.15%
　　巨人网络	GA	7.7	1.45%
　　畅游	CYOU	31.73	-0.06%
　　第九城市	NCTY	7.19	-1.51%
　　完美时空	PWRD	40.03	3.41%
　　携程网	CTRP	38.8	-0.18%
　　金融界	JRJC	7.86	-5.42%
　　艺龙	LONG	11.27	-0.27%
　　前程无忧	JOBS	18.19	0.00%
　　掌上灵通	LTON	1.77	-3.80%
　　空中网	KONG	7.53	-3.46%
　　华友世纪	HRAY	3.12	7.59%
　　易居中国	EJ	20.52	-1.25%
　　如家快捷	HMIN	32.71	-2.77%
　　7天连锁	SVN	11.21	0.18%
　　新东方	EDU	82.05	2.26%
　　正保远程教育	DL	5.91	2.25%
　　华视传媒	VISN	4.81	1.05%
　　航美传媒	AMCN	7.17	-0.69%
　　新华悦动传媒	XSEL	0.63	5.15%
　　永新视博	STV	7.65	0.53%
　　UT斯达康	UTSI	2.19	1.86%
　　展讯通信	SPRD	6.5	-0.61%
　　亚信科技	ASIA	29	0.00%
　　中芯国际	SMI	5.13	-0.97%
　　中星微电子	VIMC	4.33	1.88%
　　炬力	ACTS	2.37	-0.42%
　　侨兴环球	XING	1.87	-2.09%
　　德信无线	CNTF	3.24	-0.61%
　　无锡尚德	STP	14.49	2.11%
　　文思信息	VIT	22.08	-1.74%
　　诺亚舟	NED	4.94	0.82%
　　中华网	CHINA	2.85	1.79%
　　CDC软件	CDCS	11.64	1.22%
　　侨兴移动	QXM	2.33	-4.12%
　　国人通信	GRRF	3.47	0.58%

