美股周二收高中国概念股涨跌互见
　　新浪科技讯 北京时间7月22日早消息，随更多利好财报被披露，美股周二收高，延续了近期的上涨势头。周二交易波动较大，卡特彼勒业绩好于预期，但区域性银行前景令投资者担忧。中国概念股今日涨跌互见。
　　截至收盘，道琼斯工业平均指数上涨了67.79点，报收8915.94点，涨幅为0.77%，道指已连续上涨了7个交易日。
　　纳斯达克综合指数上涨了6.91点，报收1916.20点，涨幅为0.36%，纳指已连涨了10个交易日。标准普尔500指数上涨了3.45点，报收954.58点，涨幅为0.36%。
　　股票 股价 涨跌幅
　　新浪 32.590 -1.600%
　　网易 41.620 1.560%
　　搜狐 64.090 -1.250%
　　百度 332.080 -1.240%
　　分众传媒 8.470 3.420%
　　盛大 57.770 -4.020%
　　巨人网络 8.050 3.870%
　　畅游 44.100 -2.630%
　　第九城市 9.060 2.950%
　　完美时空 33.500 -4.290%
　　携程网 47.960 -0.560%
　　金融界 11.360 -0.790%
　　艺龙 6.600 2.330%
　　前程无忧 11.450 0.310%
　　掌上灵通 2.190 1.860%
　　空中网 12.040 1.260%
　　华友世纪 3.850 -0.520%
　　易居中国 18.040 1.350%
　　如家快捷 16.590 1.530%
　　新东方 67.000 4.740%
　　正保远程教育 7.480 0.400%
　　华视传媒 6.490 0.000%
　　航美传媒 5.890 -0.170%
　　新华悦动传媒 0.870 -3.330%
　　永新视博 8.470 -4.940%
　　UT斯达康 1.720 1.180%
　　展讯通信 2.450 -1.610%
　　亚信科技 17.500 -1.240%
　　中芯国际 2.750 1.850%
　　中星微电子 2.390 -0.420%
　　炬力 2.280 0.000%
　　侨兴环球 1.820 -1.090%
　　德信无线 2.240 -4.270%
　　无锡尚德 17.800 9.940%
　　诺亚舟 3.900 -2.500%
　　中华网 2.220 0.910%

