中国互联网公司周三普涨 新华悦动大涨17.5%
　　新浪科技讯 美国东部时间4月14日16:00(北京时间4月15日4:00)消息，受摩根大通与英特尔财报的强劲推动，周三美国股市收高，至此美股实现五连阳。标普500指数于2008年9月下旬以来首次突破1200点关口，道指上涨一百多点，科技与金融板块领涨大盘。中国互联网公司周三普涨。
　　截至收盘，纳斯达克综合指数上涨38.87点，收于2,504.86点，涨幅1.58%；道琼斯工业平均指数上涨103.69点，收于11,123.11点，涨幅0.94%；标准普尔500指数上涨13.35点，收于1,210.65点，涨幅0.12%。
　　中国互联网公司周三收盘普涨，其中新华悦动传媒(Nasdaq:XSEL)大涨17.52%。
　　股票名称		最新价		涨跌幅
　　新浪		38.95		-1.12%
　　CRIC		9.96		0.10%
　　网易		36.4		0.41%
　　搜狐		53.08		0.02%
　　百度		637.66		1.76%
　　分众传媒		17.78		0.62%
　　盛大		45.03		0.33%
　　盛大游戏		7.53		0.80%
　　巨人网络		8.04		0.00%
　　畅游		33.51		5.66%
　　第九城市		7.13		1.42%
　　完美时空		35.99		-1.10%
　　携程网		39.41		1.91%
　　金融界		7.58		0.40%
　　艺龙		11.9		2.23%
　　前程无忧		19.38		0.10%
　　掌上灵通		1.73		0.00%
　　空中网		8		0.00%
　　华友世纪		3.39		2.41%
　　易居中国		20.26		1.91%
　　如家快捷		34.77		2.32%
　　7天连锁		10.93		-2.58%
　　新东方		93.2		3.53%
　　正保远程教育		5.77		-0.34%
　　华视传媒		4.8		1.05%
　　航美传媒		6.04		-0.98%
　　新华悦动传媒		0.81		17.52%
　　永新视博		7.43		0.41%
　　UT斯达康		3.08		-0.32%
　　展讯通信		6.54		9.73%
　　亚信科技		27.99		2.04%
　　中芯国际		6.34		4.11%
　　中星微电子		4.49		0.90%
　　炬力		2.34		0.86%
　　侨兴环球		1.88		0.00%
　　德信无线		2.62		0.77%
　　无锡尚德		14.82		2.14%
　　文思信息		25.07		1.01%
　　诺亚舟		5.11		0.00%
　　中华网		3.16		1.94%
　　CDC软件		10.89		2.74%
　　侨兴移动		2.97		2.06%
　　国人通信		2.76		-2.13%
　　汉庭连锁酒店		15.05		-4.81%

