全球品牌价值30强：谷歌第一苹果第二
　　新浪科技讯 北京时间9月15日晚间消息，英国品牌价值咨询公司Brand Finance周三公布了2011年全球最具价值品牌排行榜，排名前三位的企业分别是谷歌、苹果和微软。
　　Brand Finance数据显示，谷歌的品牌价值为482.78亿美元，同比增加9%，排名首位。苹果的品牌价值为393.01亿美元，同比增加33%，位居第二。微软的品牌价值为390.05亿美元，同比下滑9%，排名第三。
　　以下为Brand Finance评出的2011年全球最具价值品牌排名：
　　1.谷歌
　　2. 苹果
　　3. 微软
　　4. IBM
　　5. 沃尔玛
　　6. 通用电气
　　7. AT&T
　　8. 可口可乐
　　9. 富国银行
　　10. 美国银行
　　11. 惠普(微博)
　　12. Verizon
　　13. 麦当劳(微博)
　　14. 英特尔
　　15. 亚马逊
　　16. 百事可乐
　　17. 家得宝(the home depot)
　　18. Chase
　　19. 耐克
　　20. 福特
　　21. UPS
　　22. 美国运通
　　23. 雪佛龙(Chevron)
　　24. Target
　　25. 迪斯尼
　　26. 花旗银行
　　27. 美孚石油
　　28. JP摩根
　　29. 甲骨文
　　30. Comcast  (李明)

