中国互联网公司周一股价涨跌互现
　　新浪科技讯 北京时间1月12日凌晨消息，美股周一尾盘涨跌不一。美元汇率走低，推动贵金属板块攀升。由于缺少刺激因素，主要股指全天维持窄幅震荡趋势。受此影响，中国互联网公司周一股价涨跌互现。
　　美东时间周一下午16:00(北京时间1月12日05:00)，道琼斯工业平均指数上涨45.80点，报10,663.99点，涨幅0.43%；纳斯达克综合指数下跌4.76点，报2,312.41点，跌幅0.21%；标准普尔500指数上涨2.00点，报1,146.98点，涨幅0.17%。
　　股票名称		最新价		涨跌幅
　　新浪		45.87		2.14%
　　CRIC		10.8		1.41%
　　网易		39.01		-1.98%
　　搜狐		58.95		-0.42%
　　百度		400.57		-0.92%
　　分众传媒		17.43		3.20%
　　盛大		59		0.14%
　　盛大游戏		10.84		2.36%
　　巨人网络		7.26		-1.89%
　　畅游		34.63		-1.65%
　　第九城市		8.17		-0.97%
　　完美时空		43.75		0.88%
　　携程网		73.64		1.18%
　　金融界		9.01		10.69%
　　艺龙		11.74		4.82%
　　前程无忧		18.96		-0.42%
　　掌上灵通		2.01		1.00%
　　空中网		13.08		-1.28%
　　华友世纪		4.25		0.24%
　　易居中国		19.02		-0.42%
　　如家快捷		39.33		-1.82%
　　7天连锁		15.07		7.80%
　　新东方		78.71		-1.23%
　　正保远程教育		6.53		-2.25%
　　华视传媒		11.55		0.09%
　　航美传媒		8.46		-0.82%
　　新华悦动传媒		0.84		5.59%
　　永新视博		6.81		-2.01%
　　UT斯达康		2.31		1.76%
　　展讯通信		5.9		-0.51%
　　亚信科技		29.22		-1.88%
　　中芯国际		4.06		7.98%
　　中星微电子		4.98		0.40%
　　炬力		2.48		1.22%
　　侨兴环球		2.73		3.41%
　　德信无线		3.35		-0.59%
　　无锡尚德		18.2		0.94%
　　文思信息		21.76		5.58%
　　诺亚舟		5		-1.19%
　　中华网		2.95		10.49%
　　CDC软件		10.79		3.15%
　　侨兴移动		3.65		-0.27%
　　国人通信		4.23		-1.40%

