中国概念股周三收盘涨跌互现
　　新浪科技讯 美国东部时间4月22日下午(北京时间4月23日凌晨)消息，投资者对于银行业前景美股周三涨跌互见，摩根士丹利公布的第一季度亏损额超出了预期，该公司还降低了分红。AT&T Inc。与麦当劳的业绩好于预期。受大盘影响，中国概念股周三收盘涨跌互现。
　　截至美东时间下午3:30(北京时间凌晨3:30)，道琼斯工业平均指数上涨了23.82点，至7993.38点，涨幅为0.30%；纳斯达克综合指数上涨了25.61点，至1669.46点，涨幅为1.56%，标准普尔500指数上涨了6.46点，至856.54点，涨幅为0.76%。
　　中国概念股周三涨跌互现，其中前程无忧股价涨9.32%，德信无线跌9.2%。
　　股票名称 最新价 涨跌幅
　　新浪 26.780  1.750%
　　网易 29.930 -0.890%
　　搜狐 46.620 -0.040%
　　百度 208.330  1.840%
　　分众传媒 6.520 -0.150%
　　盛大 44.770 -5.270%
　　巨人网络 8.120  1.630%
　　畅游 26.180  5.740%
　　第九城市 9.560  1.590%
　　完美时空 16.320  2.130%
　　携程网 30.580 -0.360%
　　金融界 11.580 -1.860%
　　艺龙 7.340  3.380%
　　前程无忧 7.740  9.320%
　　掌上灵通 1.520 -0.650%
　　空中网 5.990 -0.500%
　　华友世纪 1.320 -7.690%
　　易居中国 10.250  0.490%
　　如家快捷 13.910  5.460%
　　新东方 52.000 -1.590%
　　正保远程教育 5.890 -0.170%
　　华视传媒 5.530  1.100%
　　航美传媒 5.300  2.710%
　　新华悦动传媒 0.580 -1.680%
　　永新视博 7.620 -3.540%
　　UT斯达康 1.130  0.000%
　　展讯通信 1.520  1.330%
　　亚信科技 17.630 -0.110%
　　中芯国际 1.960 -2.970%
　　中星微电子 1.850 -1.070%
　　炬力 1.700  0.590%
　　侨兴环球 1.690 -2.870%
　　德信无线 1.480 -9.200%
　　无锡尚德 13.390  0.980%
　　文思信息 7.160  0.280%
　　诺亚舟 3.030  1.000%


