中国互联网公司周四股价多数下跌
　　新浪科技讯 北京时间10月23日凌晨消息，受金融与消费板块上涨带动，美股周四强劲攀升。上市公司利好的业绩报告以及预告增强了投资者的信心。同时，中国互联网公司周四股价却多数下跌，其中德信无线下跌4.31%，展讯通信上涨7.68%。
　　截至收盘，道琼斯工业平均指数上涨了131.95点，至10081.31点，涨幅为1.33%；纳斯达克综合指数上涨了14.56点，至2165.29点，涨幅为0.68%；标准普尔500指数上涨了11.51点，至1092.91点，涨幅为1.06%。
　　股票名称	最新价		涨跌幅
　　新浪	41.36		0.46%
　　CRIC	14.4		-3.87%
　　网易	37.55		-1.26%
　　搜狐	68.74		-0.75%
　　百度	415.6		2.38%
　　分众传媒	14.88		0.54%
　　盛大	46.04		-1.60%
　　盛大游戏	9.95		-2.55%
　　巨人网络	7.49		-0.13%
　　畅游	32.5		2.27%
　　第九城市	7.72		-1.03%
　　完美时空	44.28		-0.70%
　　携程网	60.7		4.31%
　　金融界	9		-2.70%
　　艺龙	12.24		-4.00%
　　前程无忧	14.95		-0.33%
　　掌上灵通	2.3		-4.17%
　　空中网	15.13		0.40%
　　华友世纪	6.04		-1.79%
　　易居中国	21.17		0.33%
　　如家快捷	31.85		0.70%
　　新东方	72.86		-0.92%
　　正保远程教育6.99		-1.32%
　　华视传媒	10.22		2.10%
　　航美传媒	8.85		1.26%
　　新华悦动传媒1.71		-1.72%
　　永新视博	7.44		1.64%
　　UT斯达康	2.15		-0.92%
　　展讯通信	6.03		7.68%
　　亚信科技	22.8		-0.78%
　　中芯国际	2.56		1.19%
　　中星微电子3.89		-1.52%
　　炬力	2.76		-0.36%
　　侨兴环球	2.04		-0.97%
　　德信无线	3.33		-4.31%
　　无锡尚德	14.34		-1.51%
　　文思信息	18.4		2.91%
　　诺亚舟	5.48		-1.62%
　　中华网	2.62		-2.60%
　　CDC软件	9.11		-2.57%
　　侨兴移动	3.49		4.80%
　　国人通信	5.34		3.29%

