中国概念股周五涨跌互现 软通动力大涨17.35%
　　新浪科技讯 北京时间3月5日凌晨消息 随着纽约原油期货收在每桶104美元上方，周五美国股市收低，但已经远离盘中最低点。原油期货价格突破每桶104美元以及2月非农就业数据使人们担心收入增长可能跟不上能源成本上涨的步伐。中国概念股涨跌互现，软通动力受四季财报推动大涨17.35%报19.95美元；新浪涨6.16%报84.13美元；展讯通信涨6.71%报23.07美元。
　　另外，海辉软件涨 7.03%报21.15美元；易车网涨6.01%报12.70美元；华视传媒则下跌6.05%报4.04美元。
　　美东时间周五16:00(北京时间3月5日05:00)，道琼斯工业平均指数下跌88.32点，收于12,169.88点，跌幅为0.72%；纳斯达克综合指数下跌14.07点，收于2,784.67点，跌幅为0.50%；标准普尔500指数下跌9.82点，收于1,321.15点，跌幅为0.74%。
　　今天盘中道指最多曾下跌近180点，下跌至12,079.51点。
　　股票　最新价　涨跌幅
　　新浪　84.13　6.16%
　　CRIC　6.9　-2.54%
　　网易　47.33　0.28%
　　搜狐　81.81　2.67%
　　百度　122.34　0.40%
　　分众传媒　27.5　-2.10%
　　盛大　44.65　0.22%
　　盛大游戏　6.63　0.15%
　　巨人网络　7.99　0.76%
　　畅游　37.37　-1.24%
　　第九城市　7.35　1.80%
　　完美世界　21.59　3.90%
　　携程网　39.04　0.41%
　　金融界　5.22　-0.38%
　　艺龙　13.65　-2.78%
　　前程无忧　60.46　-0.23%
　　掌上灵通　1.55　-1.27%
　　空中网　8.67　6.12%
　　酷6传媒　3.7　0.27%
　　易居中国　11.98　-2.60%
　　如家快捷　38.99　3.75%
　　7天连锁　21.79　-0.95%
　　新东方　94.28　-1.94%
　　正保远程教育　4.04　0.50%
　　华视传媒　4.04　-6.05%
　　航美传媒　5.99　-3.70%
　　新华悦动传媒　1.21　0.00%
　　永新视博　6.54　-1.65%
　　UT斯达康　2.14　-1.38%
　　展讯通信　23.06　6.66%
　　亚信科技　20.24　-0.20%
　　中芯国际　3.79　-3.56%
　　中星微电子　2.98　-3.56%
　　炬力　2.55　0.39%
　　侨兴环球　2.2　-1.79%
　　德信无线　4.43　-2.64%
　　无锡尚德　9.43　-0.63%
　　文思信息　32.12　-1.32%
　　诺亚舟　2.08　1.46%
　　中华网　2.8　1.08%
　　CDC软件　6.3　2.11%
　　侨兴移动　4.35　-0.68%
　　国人通信　2.97　0.51%
　　汉庭连锁酒店　18.05　-5.00%
　　大华建设　0.96　-2.03%
　　搜房网　19.95　2.99%
　　蓝汛　20.32　-3.74%
　　高德软件　16.6　0.61%
　　麦考林　6.3　-0.94%
　　优酷网　42.93　1.01%
　　当当网　27.4　1.41%
　　博纳影业　7.03　0.14%
　　斯凯　10.19　-4.54%
　　软通动力　19.95　17.35%
　　创博国际　4.57　1.11%
　　海辉软件　21.17　7.16%

