美股周四探底反弹中国概念股涨跌互现
　　新浪科技讯 北京时间2月12日凌晨消息，美股周四探底反弹，据路透社报道奥巴马政府正在制定一个帮助购房者偿还房贷的计划，这一消息传出后，美股迅速反弹。纳指由跌转涨，中国概念股涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了6.77点，至7932.26点，跌幅为0.09%；标准普尔500指数上涨了1.45点，至835.19点，涨幅为0.17%；纳斯达克综合指数上涨了11.21点，至1541.71点，涨幅为0.73%。
　　中国概念股周四涨跌互现，其中，亚信受财报利好刺激股价大涨22.76%，涨至12.62美元。新东方受昨晚下调其第三季度业绩预期影响，股价大跌22.94%，跌至40.94美元。另外，九城网络大跌17.74%，跌至1.02美元。
　　股票 股价 涨跌幅 
　　新浪 21.080 -2.360% 
　　网易 19.310 -2.230% 
　　搜狐 46.940 0.020% 
　　百度 132.000 -1.390% 
　　分众传媒 7.620 -1.680% 
　　盛大 30.470 0.930% 
　　巨人网络 6.180 3.690% 
　　第九城市 14.500 -1.290% 
　　完美时空 14.410 -3.680% 
　　携程网 19.920 0.560% 
　　金融界 10.740 -5.120% 
　　艺龙 7.200 -0.830% 
　　前程无忧 7.150 0.280% 
　　掌上灵通 1.250 0.000% 
　　空中网 4.110 0.490% 
　　华友世纪 1.650 1.230% 
　　易居中国 7.280 -2.150% 
　　如家快捷 8.160 -1.330% 
　　新东方 40.940 -22.940% 
　　正保远程教育 4.670 -0.640% 
　　华视传媒 5.790 -4.300% 
　　航美传媒 4.850 -1.820% 
　　新华财经传媒 0.580 5.440% 
　　永新视博 6.430 0.630% 
　　UT斯达康 1.470 2.800% 
　　展讯通信 0.940 -6.000% 
　　亚信科技 12.620 22.760% 
　　中芯国际 1.590 0.000% 
　　中星微电子 1.980 0.000% 
　　炬力 1.500 0.000% 
　　侨兴环球 1.470 0.000% 
　　德信无线 1.350 5.470% 
　　无锡尚德 9.830 2.720% 
　　文思信息 4.530 0.670% 
　　诺亚舟 2.910 -3.000% 
　　中华网 0.920 -2.130% 


