中国互联网公司股价周五涨跌互现
　　新浪科技讯 北京时间10月31日早消息， 因消费者支出下降引发投资者对经济复苏的担忧，美股周五大幅下跌，标准普尔500指数与纳指10月份均收跌，结束了连续7个月上涨的势头。中国互联网公司股价在纳斯达克涨跌互现，分众传媒和国人通信两公司股票跌破10%。
　　截至收盘，道琼斯工业平均指数下跌了249.85点，报收9712.73点，跌幅为2.51%；纳斯达克综合指数下跌了52.44点，收报2045.11点，跌幅为2.50%；标准普尔500指数下跌了29.92点，报收1036.19点，跌幅为2.81%。
　　中国互联网公司股价周五涨跌互现，其中，分众传媒下跌10.22%，报12.04美元；国人通信下跌11.09%，报4.01美元。
　　股票  	股价  	涨跌幅
　　新浪  	37.39 	-2.73%
　　CRIC  	12.71 	0.87%
　　网易  	38.62 	0.34%
　　搜狐  	55.6 	-3.20%
　　百度  	377.92 	-3.93%
　　分众传媒  	12.04 	-10.22%
　　盛大  	43.68 	-3.92%
　　盛大游戏  	9.96 	1.12%
　　巨人网络  	7.31 	-0.27%
　　畅游  	30.13 	-3.65%
　　第九城市  	7.5 	-2.34%
　　完美时空  	44.01 	-0.07%
　　携程网  	53.54 	-5.67%
　　金融界  	8.03 	-4.40%
　　艺龙  	12.35 	-0.08%
　　前程无忧  	14.9 	-2.87%
　　掌上灵通  	2.09 	-0.95%
　　空中网  	13.4 	-1.62%
　　华友世纪  	6.08 	1.33%
　　易居中国  	17.11 	-7.91%
　　如家快捷  	26.58 	-8.47%
　　新东方  	69.84 	-2.05%
　　正保远程教育  	7 	2.04%
　　华视传媒  	8.36 	-6.07%
　　航美传媒  	8.27 	-2.13%
　　新华悦动传媒  	1.17 	0.00%
　　永新视博  	6.8 	-0.15%
　　UT斯达康  	1.81 	-9.05%
　　展讯通信  	5.72 	6.92%
　　亚信科技  	22.06 	-5.28%
　　中芯国际  	2.42 	-2.81%
　　中星微电子  	3.58 	-2.45%
　　炬力  	2.41 	1.69%
　　侨兴环球  	1.85 	-1.07%
　　德信无线  	3.07 	-4.36%
　　无锡尚德  	12.67 	-2.69%
　　文思信息  	15.1 	-3.76%
　　诺亚舟  	4.78 	-0.42%
　　中华网  	2.33 	1.75%
　　CDC软件  	9.74 	7.03%
　　侨兴移动  	3.08 	-1.28%
　　国人通信  	4.01 	-11.09%

