中国互联网上市公司周二普涨 华视传媒涨13.7%
　　新浪科技讯 美国东部时间7月20日16:00(北京时间7月21日4:00)消息，周二美国股市收高。市场猜测美联储将采取额外的刺激经济增长措施，并对苹果公司即将公布的财报寄予厚望。
　　截至收盘，道琼斯工业平均指数上涨75.61点，收于10,230.04点，涨幅0.74%；纳斯达克综合指数上涨24.26点，收于2,222.49点，涨幅1.10%；标准普尔500指数上涨12.23点，收于1,083.48点，涨幅 1.14%。
　　中国互联网上市公司周二大部分上涨，其中华视传媒(Nasdaq:VISN)大涨13.73%。
　　股票名称		最新价		涨跌幅
　　新浪		40.34		0.35%
　　CRIC		8.99		1.24%
　　网易		34.45		2.74%
　　搜狐		42.57		1.04%
　　百度		74.04		1.56%
　　分众传媒		16.85		1.63%
　　盛大		38.69		-0.74%
　　盛大游戏		6.3		1.94%
　　巨人网络		7.01		0.29%
　　畅游		26.37		-0.86%
　　第九城市		4.28		0.00%
　　完美时空		23.82		-0.54%
　　携程网		38.92		4.79%
　　金融界		7.98		8.13%
　　艺龙		12.46		2.13%
　　前程无忧		21.52		0.33%
　　掌上灵通		1.4		-1.41%
　　空中网		6.52		4.49%
　　华友世纪		2.46		-1.60%
　　易居中国		15.99		1.27%
　　如家快捷		39.49		1.13%
　　7天连锁		11		2.04%
　　新东方		97.51		0.74%
　　正保远程教育		4.2		-1.41%
　　华视传媒		3.81		13.73%
　　航美传媒		2.96		0.00%
　　新华悦动传媒		0.3		-4.84%
　　永新视博		5.9		4.98%
　　UT斯达康		1.94		3.19%
　　展讯通信		8.71		2.71%
　　亚信科技		24.82		-0.92%
　　中芯国际		3.26		0.31%
　　中星微电子		4.61		0.22%
　　炬力		2.18		0.46%
　　侨兴环球		1.66		0.61%
　　德信无线		2.84		-0.70%
　　无锡尚德		10.8		0.84%
　　文思信息		25.36		2.59%
　　诺亚舟		3.31		0.91%
　　中华网		2.05		-0.97%
　　CDC软件		7.32		0.55%
　　侨兴移动		2.6		1.17%
　　国人通信		1.8		7.14%
　　汉庭连锁酒店		15.23		2.77%

