中国概念股周五多数上涨 UT斯达康大涨13.19%
　　新浪科技讯 北京时间4月2日凌晨消息，受利好经济数据推动，周五美国股市收高，美股迎来第二季度开门红。数据显示美国经济创造的就业岗位持续增加、失业率降至两年新低，令市场情绪乐观，道指盘中创下2011年新高。中国概念股多数上涨，新浪涨4.12%报111.45美元创下IPO以来又一新高；UT斯达康涨13.19%报2.66美元。
　　盛大涨5.26%报44.20美元；百度涨0.74%报138.83美元创52周新高；海辉软件涨8.49%报18.92美元。另外，正保远程教育跌7.65%报3.62美元。
　　美东时间4月1日16:00(北京时间4月2日04:00)，道琼斯工业平均指数上涨56.99点，收于12,376.72点，涨幅0.46%；纳斯达克综合指数上涨8.53点，收于2,789.60点，涨幅0.31%；标准普尔500指数上涨6.58点，收于1,332.41点，涨幅0.50%。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　111.45　4.12%
　　CRIC　7.92　1.41%
　　网易　50.63　2.26%
　　搜狐　90.88　1.70%
　　百度　138.83　0.74%
　　分众传媒　30.63　-0.13%
　　盛大　44.2　5.26%
　　盛大游戏　6.57　3.30%
　　巨人网络　7.4　-0.67%
　　畅游　33.15　3.17%
　　第九城市　6.77　3.36%
　　完美世界　21.62　1.97%
　　携程网　41.65　0.39%
　　金融界　4.38　-3.74%
　　艺龙　14.27　0.92%
　　前程无忧　64.36　0.67%
　　掌上灵通　1.37　0.00%
　　空中网　10.01　-0.60%
　　酷6传媒　3.95　0.77%
　　易居中国　12.31　4.77%
　　如家快捷　41.5　4.88%
　　7天连锁　21.83　7.64%
　　新东方　103.61　3.54%
　　正保远程教育　3.62　-7.65%
　　华视传媒　4.45　2.77%
　　航美传媒　5.39　3.45%
　　永新视博　7.31　2.38%
　　UT斯达康　2.66　13.19%
　　展讯通信　18.23　-1.73%
　　亚信科技　22.65　4.62%
　　中芯国际　3.89　2.37%
　　中星微电子　2.99　-0.33%
　　炬力　2.44　-2.01%
　　侨兴环球　1.99　-4.33%
　　德信无线　4.32　-1.82%
　　无锡尚德　9.37　-4.97%
　　文思信息　32.88　4.68%
　　诺亚舟　2.16　-0.46%
　　中华网　2.55　0.00%
　　CDC软件　4.94　3.56%
　　侨兴移动　4.04　-1.22%
　　国人通信　3.32　-1.19%
　　汉庭连锁酒店　18.92　8.49%
　　大华建设　1.27　-2.30%
　　搜房网　17.97　-3.70%
　　蓝汛　18.25　0.11%
　　高德软件　18.14　2.43%
　　麦考林　6.16　4.76%
　　优酷网　49.35　3.87%
　　当当网　20.41　-1.07%
　　博纳影业　6.5　1.56%
　　斯凯　12.85　4.47%
　　软通动力　18.02　-2.65%
　　创博国际　4.17　2.46%
　　海辉软件　18.45　-1.49%
　　奇虎360　29.5　-0.30%

