中国概念股周三多数上涨 7只股票涨幅超5%
　　新浪科技讯 北京时间10月27日凌晨消息，周三美国股市收高，纳斯达克综合指数上涨0.46%。中国概念股多数上涨，10只股票涨幅超3%，其中7只股票涨幅超5%。前程无忧涨 8.81%，展讯通信涨7.74%，完美世界涨6.99%，易居中国涨6.43%，携程网涨6.37%，中芯国际涨5.73%，软通动力涨5.69%；另外，优酷跌6.03%。
　　美股上涨的原因是，有关欧盟已达成银行重新资本化协议以及中国将为解决欧洲债务危机提供融资的消息，使美股得到支持。
　　周三，中星微涨4.43%。UT斯达康、亚信科技、侨兴移动等3只股票涨幅在3%至4%之间。还有搜狐、百度、盛大、分众传媒、盛大游戏(微博)、第九城市、搜房、CRIC、网秦、凤凰新媒体等10只股票涨幅在2%至3%之间。
　　另外，新浪跌4.56%，畅游、灵通网和诺亚舟三只股票跌幅在3%至4%之间。
　　美东时间10月26日16:00(北京时间10月27日04:00)，道琼斯工业平均指数上涨162.42点，收于11,869.04点，涨幅1.39%；纳斯达克综合指数上涨12.25点，收于2,650.67点，涨幅0.46%；标准普尔500指数上涨12.95点，收于1,242.00点，涨幅1.05%。
　　股票　最新价　涨跌幅
　　新浪　84.68　-4.56%
　　CRIC　4.99　2.89%
　　网易　47.78　-0.50%
　　搜狐　59.03　2.00%
　　百度　130.8　2.20%
　　分众传媒　24.9　2.34%
　　盛大　40.3　2.75%
　　盛大游戏　5.46　2.82%
　　巨人网络　4.06　0.25%
　　畅游　28.57　-3.64%
　　第九城市　5.31　2.45%
　　完美世界　14.08　6.99%
　　携程网　35.39　6.37%
　　金融界　1.91　-2.75%
　　艺龙　14.25　-3.06%
　　前程无忧　47.8　8.81%
　　掌上灵通　0.74　0.04%
　　空中网　5.02　1.21%
　　酷6传媒　1.84　-1.60%
　　易居中国　7.45　6.43%
　　华视传媒　1.7　-0.58%
　　航美传媒　2.32　-2.52%
　　UT斯达康　1.41　3.68%
　　展讯通信　25.32　7.74%
　　亚信科技　10.37　3.39%
　　中芯国际　2.77　5.73%
　　中星微电子　1.65　4.43%
　　炬力　2.07　-1.43%
　　侨兴环球　0.82　3.80%
　　泰克飞石　2.27　0.44%
　　文思信息　11.02　-0.81%
　　诺亚舟　1.44　-3.36%
　　侨兴移动　1.05　1.99%
　　国人通信　2.39　-0.42%
　　联游网络　0.26　-1.92%
　　BCD半导体　4.6　1.43%
　　学而思　10.11　1.40%
　　学大教育　3.16　-1.56%
　　正保远程教育　2.45　0.00%
　　新东方　28.63　1.56%
　　搜房网　12.19　2.01%
　　蓝汛　5.07　1.81%
　　高德软件　13.23　1.77%
　　麦考林　1.71　1.79%
　　优酷网　19.64　-6.03%
　　当当网　5.8　-0.85%
　　斯凯　4.83　-1.23%
　　软通动力　10.41　5.69%
　　创博国际　2.3　-0.86%
　　海辉软件　12.7　0.40%
　　奇虎360　19.5　-0.56%
　　世纪互联　9.45　0.00%
　　人人公司　5.95　-0.34%
　　网秦　5.02　2.03%
　　世纪佳缘　8.6　1.65%
　　凤凰新媒体　4.7　2.17%
　　淘米　5.85　-0.17%
　　土豆网(微博)　16　1.20%

