中国概念股周一多数上涨 中芯涨12%创52周新高
　　新浪科技讯 北京时间5月10日凌晨消息，周一美股收高。大宗商品期货价格在上周大幅下滑之后周一反弹，能源与自然资源板块涨幅领先大盘。中国概念股多数上涨，中芯国际大涨12.39%报5.26美元，创52周新高；酷6传媒涨 7.30%报6.32美元。
　　蓝汛通信涨 5.23%报15.10美元；斯凯网络大跌10.00%报13.32美元；人人跌 4.58%报16.03美元；网秦跌1.79%报8.25美元创新低。
　　美东时间5月9日16:00(北京时间5月10日04:00)，道琼斯工业平均指数上涨45.94点，报12,684.68点，涨幅0.36%；纳斯达克综合指数上涨15.69点，报2,843.25点，涨幅0.55%；标准普尔500指数上涨6.09点，报1,346.29点，涨幅0.45%。
　　股票　最新价　涨跌幅
　　新浪　124.45　-0.59%
　　CRIC　8.21　-0.84%
　　网易　47.56　0.89%
　　搜狐　95.08　1.13%
　　百度　142.62　0.96%
　　分众传媒　36.91　1.01%
　　盛大　47.41　1.26%
　　盛大游戏　7.16　0.14%
　　巨人网络　8.86　-0.11%
　　畅游　44.76　5.89%
　　第九城市　6.53　0.31%
　　完美世界　25.8　1.94%
　　携程网　48.3　0.56%
　　金融界　5.22　1.36%
　　艺龙　16.46　-1.44%
　　前程无忧　63.65　-0.06%
　　掌上灵通　1.15　-0.86%
　　空中网　8.07　0.37%
　　酷6传媒　6.32　7.30%
　　易居中国　11.21　-2.86%
　　如家快捷　40.34　-0.27%
　　7天连锁　22.43　-2.05%
　　新东方　119.79　0.47%
　　正保远程教育　3.5　0.29%
　　华视传媒　4.52　0.44%
　　航美传媒　4.63　2.21%
　　永新视博　6.54　1.08%
　　UT斯达康　2.37　1.28%
　　展讯通信　19.98　0.40%
　　亚信科技　20.05　-0.64%
　　中芯国际　5.26　12.39%
　　中星微电子　2.73　0.74%
　　炬力　2.31　-0.43%
　　侨兴环球　1.91　1.60%
　　德信无线　5.23　2.55%
　　无锡尚德　8.51　-1.50%
　　文思信息　31.21　2.16%
　　诺亚舟　2.44　2.52%
　　中华网　2.91　-0.34%
　　CDC软件　5.06　-3.06%
　　侨兴移动　2.72　-0.37%
　　国人通信　3.18　0.32%
　　汉庭连锁酒店　22.28　0.81%
　　联游网络　1.39　-1.42%
　　BCD半导体　9.67　4.54%
　　搜房网　26.94　2.82%
　　蓝汛　15.1　5.23%
　　高德软件　17.94　-0.94%
　　麦考林　5.28　-1.31%
　　优酷网　58.77　-0.12%
　　当当网　22.91　0.44%
　　博纳影业　5.22　-1.69%
　　斯凯　13.32　-10.00%
　　软通动力　20.76　1.12%
　　创博国际　4.15　0.00%
　　海辉软件　17.3　-0.69%
　　奇虎360　27.25　1.19%
　　世纪互联　14.26　3.71%
　　人人公司　16.03　-4.58%
　　网秦　8.25　-1.79%

