中国概念股周三多数上涨 上演冰火两重天
　　新浪财经讯 北京时间12月2日凌晨消息，受到众多利好因素推动，周三美国股市大幅收高，标普500指数获得了两个月以来的最大单日涨幅。中国概念股今日多数上涨，新浪涨4.55%再创新高；酷6网和前程无忧分别涨9.09%和4.45%，均创52周新高；掌上灵通和海辉软件分别大涨18.44%和16.29%；麦考林继昨日大跌39.09%破发后今日继续大跌18.40%，创其IPO以来又一新低。
　　投资者预测欧洲债务危机可能迎来新的转机，美国、中国以及欧洲的经济数据均十分强劲，美联储对经济状况的积极评价也令他们甚感安慰。
　　美东时间12月1日16:00(北京时间12月2日05:00)，道琼斯工业平均指数上涨249.67点，收于11,255.78点，涨幅2.27%；纳斯达克综合指数上涨51.20点，收于2,549.43点，涨幅2.05%；标准普尔500指数上涨25.52点，收于1,206.07点，涨幅2.16%。
　　中国概念股周三涨跌互现。新浪涨4.55%报66.93美元，再上市以来新高；酷6网涨9.09%报6.00美元创52周新高；前程无忧涨4.45%报53.00美元创52周新高；掌上灵通受益于三季度财报大涨18.44%报1.67美元；海辉软件大涨16.29%。另外，麦考林继昨日大跌39.09%破发后今日继续大跌18.40%，报6.55美元，创其IPO以来又一新低；艺龙网跌9.61%报17.30美元；环球天下教育跌9.62%报8.27美元；大华建设跌6.98%报0.55美元创52周新低。（飞宇）
　　股票　最新价　涨跌幅
　　新浪　66.93　4.55%
　　CRIC　9.19　0.44%
　　网易　38.96　2.04%
　　搜狐　69.84　0.59%
　　百度　106.81　1.68%
　　分众传媒　23.27　-0.26%
　　盛大　39.67　0.35%
　　盛大游戏　5.89　5.18%
　　巨人网络　7.08　2.76%
　　畅游　29.14　-0.92%
　　第九城市　6.54　2.19%
　　完美时空　23.64　-0.25%
　　携程网　42.73　-2.39%
　　金融界　7.5　-0.53%
　　艺龙　17.44　-8.88%
　　前程无忧　53　4.45%
　　掌上灵通　1.67　18.44%
　　空中网　7.38　1.51%
　　酷6传媒　6　9.09%
　　易居中国　14.13　1.29%
　　如家快捷　47.23　-0.80%
　　7天连锁　24.3　2.45%
　　新东方　105.79　-0.01%
　　正保远程教育　4.75　0.00%
　　华视传媒　3.67　-0.27%
　　航美传媒　7.4　7.09%
　　新华悦动传媒　0.24　-4.66%
　　永新视博　8.36　-0.24%
　　UT斯达康　2.16　0.93%
　　展讯通信　16.42　0.43%
　　亚信科技　16.81　0.96%
　　中芯国际　3.72　3.33%
　　中星微电子　3.26　2.84%
　　炬力　2.09　-1.88%
　　侨兴环球　1.81　2.26%
　　德信无线　3.91　-0.26%
　　无锡尚德　7.34　2.80%
　　文思信息　39.22　4.28%
　　诺亚舟　1.99　0.50%
　　中华网　3.94　1.81%
　　CDC软件　7.18　2.43%
　　侨兴移动　3.68　-1.87%
　　国人通信　2.88　1.77%
　　汉庭连锁酒店　23.91　0.50%
　　大华建设　0.55　-6.98%
　　搜房网　72.98　-0.87%
　　蓝汛　28.84　4.12%
　　高德软件　18.92　-1.30%
　　麦考林　6.65　-18.40%

