美股周五高开中国概念股早盘多数上涨
　　新浪科技讯 美国东部时间5月29日上午(北京时间5月29日晚间)消息，美股周五高开。商务部报告第一季度GDP下降了5.7%，降幅略高于分析师预期，但低于上月预估的6.1%的幅度。中国概念股周五早盘多数上涨。
　　美东时间周五上午9:30(北京时间5月29日21:30)，道琼斯工业平均指数上涨了32.58点，至8436.38点，涨幅为0.39%；纳斯达克综合指数上涨了4.98点，至1756.77点，涨幅为0.28%，标准普尔500指数上涨了1.87点，至908.70点，涨幅为0.21%。
　　股票 股价 涨跌幅
　　新浪 28.840 0.170%
　　网易 34.380 0.380%
　　搜狐 60.230 2.890%
　　百度 261.640 1.330%
　　分众传媒 8.470 0.360%
　　盛大 56.660 3.020%
　　巨人网络 7.640 1.330%
　　畅游 31.900 -0.310%
　　第九城市 9.120 1.000%
　　完美时空 21.270 -1.160%
　　携程网 37.720 0.080%
　　金融界 12.200 1.500%
　　艺龙 6.390 0.000%
　　前程无忧 8.420 0.000%
　　掌上灵通 1.880 0.000%
　　空中网 9.050 0.670%
　　华友世纪 2.900 0.000%
　　易居中国 13.840 1.620%
　　如家快捷 14.670 2.300%
　　新东方 54.800 -0.740%
　　正保远程教育 5.700 -1.720%
　　华视传媒 6.000 -0.170%
　　航美传媒 6.790 0.180%
　　新华悦动传媒 0.690 0.000%
　　永新视博 9.110 -0.550%
　　UT斯达康 2.120 4.430%
　　展讯通信 1.850 2.780%
　　亚信科技 20.530 -1.300%
　　中芯国际 2.680 0.000%
　　中星微电子 2.040 1.170%
　　炬力 2.030 0.000%
　　侨兴环球 1.970 -0.500%
　　德信无线 1.920 1.590%
　　无锡尚德 16.160 4.660%
　　诺亚舟 4.450 1.370%
　　中华网 1.650 -3.500%


