物联网概念股再度活跃 大唐电信涨停创新高  
　　新快报讯 (记者 高菲 实习生彭婷)昨日，在大唐电信封于涨停的带动下物联网概念股再度疯狂，22股中共有18只个股收涨。分析人士表示，物联网板块前期强势上涨，一度给A股市场营造了极佳的氛围。近期出现较长时间的调整后再次出现了活跃迹象，昨日该板块再度崛起，成为短线资金关注重点。
　　近期物联网概念再度走俏，从盘面上可以看出，自12月份以来，人气龙头大唐电信以60角的凌厉攻势上扬，12月7日、8日先后冲击涨停。其它物联网个股海虹控股、东信和平、海鸿股份、长电科技近期也不断上扬，走出一波行情。昨日大唐电信在重组预期的刺激下高开高走，以17.42元刷新历史新高。
　　机构资金对大唐电信的参与，或可被视为对物联网板块后市乐观的一个信号。虽然昨日并没有大唐电信的席位显示，但此前该股异动时上交所交易公开信息显示，当日4个机构席位合计买入大唐电信1.25亿元，占当日总成交额近两成。游资也积极参与，财通证券绍兴人民中路营业部买入1243.27万元。分析人士表示，此前机构资金进驻如此强势，不排除昨日的涨幅也是机构资金所为。
　　物联网昨日涨幅前十个股
　　名称 涨幅(% )现价(元)
　　大唐电信 9.97 17.42
　　海虹控股 4.39 10.94
　　东信和平 4 18.45
　　顺络电子 3.56 19.21
　　高鸿股份 3.44 10.81
　　上海贝岭 2.75 7.47
　　长电科技 2.57 8.39
　　振华科技 1.93 14.24
　　同方股份 1.92 17.02
　　恒宝股份 1.9 18.75

