中国概念股周四早盘涨跌互现
　　新浪科技讯 美国东部时间4月23日22:00(北京时间4月23日10:00)消息，由于部分上市公司的业绩好于预期，美股周四小幅高开。
　　美东时间周四上午9:30(北京时间4月23日21:30)，道琼斯工业平均指数上涨了12.82点，至7899.39点，涨幅为0.16%；纳斯达克综合指数上涨了2.90点，至1649.02点，涨幅为0.18%，标准普尔500指数上涨了1.52点，至845.07点，涨幅为0.18%。
　　受大盘影响，中国概念股周四早盘涨跌互现，其中亚信科技受昨日发布财报影响，大跌15.66%。
　　股票名称 最新价 涨跌幅 
　　新浪 27.090 1.150% 
　　网易 30.400 1.570% 
　　搜狐 46.370 -0.540% 
　　百度 210.070 0.840% 
　　分众传媒 6.540 0.310% 
　　盛大 45.060 0.650% 
　　巨人网络 8.150 0.370% 
　　畅游 25.800 -1.450% 
　　第九城市 9.330 -2.410% 
　　完美时空 15.970 -2.140% 
　　携程网 30.920 1.110% 
　　金融界 11.600 0.610% 
　　艺龙 7.340 0.000% 
　　前程无忧 7.380 -4.650% 
　　掌上灵通 1.520 0.000% 
　　空中网 6.070 1.340% 
　　华友世纪 1.320 0.000% 
　　易居中国 10.340 0.880% 
　　如家快捷 14.240 2.340% 
　　新东方 51.990 -0.020% 
　　正保远程教育 5.950 -0.340% 
　　华视传媒 5.710 3.250% 
　　航美传媒 5.270 -0.570% 
　　新华悦动传媒 0.560 -3.450% 
　　永新视博 7.580 -0.520% 
　　UT斯达康 1.120 -0.880% 
　　展讯通信 1.480 -2.620% 
　　亚信科技 14.870 -15.660% 
　　中芯国际 1.980 1.020% 
　　中星微电子 1.880 1.620% 
　　炬力 1.720 1.180% 
　　侨兴环球 1.700 0.590% 
　　德信无线 1.480 0.000% 
　　无锡尚德 13.250 -1.050% 
　　文思信息 7.170 0.140% 
　　诺亚舟 3.050 0.660% 
　　中华网 1.210 -0.820% 


