中国互联网公司周四收盘多数上涨
　　新浪科技讯 北京时间4月30日凌晨消息 巨量买盘推动美股周四稳定攀升，标准普尔500指数当前较本周初创下的52周高点仅有1%的距离。利好财报以及上周首次申请失业救济人数数据为美国经济转好提供了更多证据。中国互联网公司多数上涨。
　　截至收盘(北京时间凌晨4:00)，道琼斯工业平均指数上涨了122.05点，报收11167.32点，涨幅为1.10%；纳斯达克综合指数上涨了 40.19点，报收2511.92点，涨幅为1.63%；标准普尔500指数上涨了15.42点，报收1206.78点，涨幅为1.29%。
　　股票名称  	股票代码  	最新价  	涨跌幅
　　新浪 	SINA 	36.25	2.08%
　　CRIC 	CRIC 	8.18	1.24%
　　网易 	NTES 	35.51	1.40%
　　搜狐 	SOHU 	48.47	0.14%
　　百度 	BIDU 	709.87	14.24%
　　分众传媒 	FMCN 	16.95	-0.64%
　　盛大 	SNDA 	45.35	1.00%
　　盛大游戏 	GAME 	6.95	-0.43%
　　巨人网络 	GA 	7.65	0.66%
　　畅游 	CYOU 	33.44	6.19%
　　第九城市 	NCTY 	6.47	-3.29%
　　完美时空 	PWRD 	34.63	-0.49%
　　携程网 	CTRP 	37.52	-1.05%
　　金融界 	JRJC 	7.63	2.01%
　　艺龙 	LONG 	11.44	2.14%
　　前程无忧 	JOBS 	20.09	0.70%
　　掌上灵通 	LTON 	1.65	-1.20%
　　空中网 	KONG 	7.4	1.37%
　　华友世纪 	HRAY 	3.56	0.28%
　　易居中国 	EJ 	17.08	3.20%
　　如家快捷 	HMIN 	35.33	1.23%
　　7天连锁 	SVN 	10.37	-1.89%
　　新东方 	EDU 	93.49	-0.64%
　　正保远程教育 	DL 	5.1	-3.59%
　　华视传媒 	VISN 	4.32	1.17%
　　航美传媒 	AMCN 	6.49	3.02%
　　新华悦动传媒 	XSEL 	0.64	0.16%
　　永新视博 	STV 	7.08	-1.53%
　　UT斯达康 	UTSI 	3.16	3.27%
　　展讯通信 	SPRD 	6.75	4.81%
　　亚信科技 	ASIA 	30.42	2.22%
　　中芯国际 	SMI 	5.46	-0.73%
　　中星微电子 	VIMC 	4.58	-0.22%
　　炬力 	ACTS 	2.4	2.56%
　　侨兴环球 	XING 	1.73	0.58%
　　德信无线 	CNTF 	2.4	-0.83%
　　无锡尚德 	STP 	13.77	5.68%
　　文思信息 	VIT 	23.92	0.38%
　　诺亚舟 	NED 	4.68	-3.51%
　　中华网 	CHINA 	2.66	-3.27%
　　CDC软件 	CDCS 	9.89	1.96%
　　侨兴移动 	QXM 	2.65	3.52%
　　国人通信 	GRRF 	2.45	4.26%
　　汉庭连锁酒店 	HTHT 	15.13	-3.01%

