美股周二成交清淡中国概念股涨跌互现
　　新浪科技讯 北京时间12月24日消息，因经济数据显示美国房产市场与宏观经济仍不景气，道指周二连续第五个交易日下跌，今日成交较为清淡，投资者越来越担心政府提供的贷款也无法拯救汽车产业。中国概念股涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了100.28点，报收8419.49点，跌幅为1.18%。道指此前已连续四个交易日下跌。　标准普尔500指数下跌了8.47点，报收863.16点，跌幅为0.97%。标准普尔10大行业板块中非必需消费品、公共水电气事业与信息技术板块领跌，电讯服务与医疗板块跌幅较小。纳斯达克综合指数下跌了10.81点，报收1521.54点，跌幅为0.71%。市场成交极为清淡，纽约证交所成交量为9.85亿股，股票涨跌比为2比3。纳斯达克市场成交量为5亿股，股票涨跌比为5比9。
　　股票名称 最新价 涨跌幅 
　　新浪 23.000 -5.150% 
　　网易 20.850 0.240% 
　　搜狐 42.810 -1.250% 
　　百度 125.000 1.570% 
　　分众传媒 9.590 4.240% 
　　盛大网络 29.940 -1.220% 
　　巨人网络 6.030 -0.500% 
　　第九城市 13.450 -1.250% 
　　完美时空 16.420 -1.740% 
　　携程网 19.950 -2.680% 
　　金融界 7.560 -0.530% 
　　艺龙 7.100 -0.420% 
　　前程无忧 6.340 2.590% 
　　灵通网 1.080 -5.260% 
　　空中网 3.640 2.540% 
　　华友世纪 2.000 3.630% 
　　易居中国 7.480 -6.730% 
　　如家快捷 8.430 -15.700% 
　　新东方 50.030 0.970% 
　　正保远程教育 3.310 -5.700% 
　　华视传媒 5.090 -3.600% 
　　航美传媒 4.050 -7.950% 
　　新华财经传媒 0.550 -1.960% 
　　永新视博 7.430 0.130% 
　　UT斯达康 1.590 -0.620% 
　　展讯通信 1.010 -6.480% 
　　亚信 10.250 -17.870% 
　　中芯国际 1.550 4.030% 
　　中星微 1.950 -1.520% 
　　珠海炬力 1.620 3.180% 
　　侨兴环球 1.600 -4.190% 
　　德信无线 1.080 -2.700% 
　　无锡尚德 10.390 -1.610% 
　　文思信息 4.800 -1.230% 
　　诺亚舟 3.270 -13.950% 
　　CDC 1.090 -9.920% 


