中国40岁以下商界精英榜出炉
　　中新网5月3日电 中新网财经频道从《财富》(中文版)网站获悉，该网站日前公布了“中国40位40岁以下的商界精英”榜单，其中，腾讯董事会主席兼CEO马化腾、网易CEO丁磊、盛大CEO陈天桥分列前三。
　　以下为排行榜全榜单：
　　排名 人物 职位 年龄
　　1 马化腾 腾讯公司董事会主席兼首席执行官 39岁
　　2 丁磊 网易公司首席执行官 39岁
　　3 陈天桥 盛大集团董事长兼首席执行官 37岁
　　4 江南春 分众传媒董事局主席兼首席执行官 37岁
　　5 池宇峰 完美世界董事长 39岁
　　6 彭小峰 江西赛维LDK太阳能高科技公司董事长兼首席执行官 35岁
　　7 王均豪 均瑶集团副董事长 38岁
　　8 张轩松 福建永辉集团有限公司董事长 39岁
　　9 刘强东 京东商城首席执行官 36岁
　　10 邹胜龙 迅雷公司首席执行官 39岁
　　11 徐明 大连实德集团总裁 39岁
　　12 盛静生 罗蒙集团董事长 39岁
　　13 方威 方大集团实业有限公司董事局主席 38岁
　　14 于冬 博纳影业集团董事局主席兼首席执行官 39岁
　　15 邵亦波 经纬中国创始合伙人 37岁
　　16 张邦鑫 北京学而思教育集团董事长 31岁
　　17 戴志康 康盛创想(北京)科技有限公司首席执行官 30岁
　　18 程炳皓 开心网创始人兼首席执行官 38岁
　　19 金明 苏宁电器总裁 39岁
　　20 李厚霖 恒信钻石机构创始人、董事长 37岁
　　21 丁美清 特步集团执行董事兼副总裁 38岁
　　22 刘松琳 深圳市聚成企业管理顾问有限公司董事长 29岁
　　23 李宗炜 英利绿色能源控股有限公司首席财务官 37岁
　　24 庞升东 51.com网董事长兼首席执行官 33岁
　　25 孙德良 浙江网盛科技股份有限公司董事长 36岁
　　26 王雷雷 空中网董事会主席兼首席执行官 36岁
　　27 李想 汽车之家首席执行官 29岁
　　28 茅侃侃 MaJoy 公司总裁 27岁
　　29 郭去疾 兰亭集势公司董事长兼首席执行官 35岁
　　30 钱毅湘 博耳电力控股有限公司董事局主席 36岁
　　31 林海峰 东方日升新能源股份有限公司董事长兼总经理 35岁
　　32 于敦德 南京途牛科技有限公司首席执行官 29岁
　　33 鲜扬 恒鼎实业国际发展有限公司董事长 36岁
　　34 陈福成 上海加冷松芝汽车空调股份有限公司董事长 38岁
　　35 王海鹏 深圳市美盈森环保科技股份有限公司董事长兼总经理 39岁
　　36 严靖 上海扬讯计算机科技有限公司首席执行官 28岁
　　37 王永红 中弘集团董事长兼总裁 38岁
　　38 谢晓 上海寰彩网络科技有限公司首席执行官 29岁
　　39 沈思 北京木瓜移动科技有限公司首席执行官 29岁
　　40 舒义 力美互动广告有限公司总经理 26岁

