美股周一低收中国概念股多数下跌
　　新浪科技讯 北京时间4月28日凌晨消息，因投资者担心猪流感的爆发将使宏观经济形势更为恶化，美股周一低收。中国概念股在纳斯达克几乎全面下跌。
　　截至收盘，道琼斯工业平均指数下跌了51.29点，至8025.00点，跌幅为0.64%；纳斯达克综合指数下跌了14.88点，至1679.41点，跌幅为0.88%，标准普尔500指数下跌了8.72点，至857.52点，跌幅为1.01%。
　　中国概念股周一普遍下跌，华友世纪因中国独立投资者组成的一个财团将公开宣布对其发起旨在控股的主动收购要约，该公司股价周一逆市大涨33.33%。 
　　股票 股价 涨跌幅 
　　新浪 28.780 -6.040% 
　　网易 30.250 -2.140% 
　　搜狐 50.530 -3.620% 
　　百度 224.860 3.360% 
　　分众传媒 6.650 -4.450% 
　　盛大 47.300 -1.520% 
　　巨人网络 8.500 4.940% 
　　畅游 26.800 0.640% 
　　第九城市 9.210 -1.180% 
　　完美时空 16.780 0.060% 
　　携程网 30.760 -3.090% 
　　金融界 11.060 -3.910% 
　　艺龙 6.420 -5.590% 
　　前程无忧 8.080 -1.700% 
　　掌上灵通 1.420 -8.970% 
　　空中网 6.250 -2.950% 
　　华友世纪 2.000 33.330% 
　　易居中国 11.550 1.030% 
　　如家快捷 13.470 0.520% 
　　新东方 53.670 -1.450% 
　　正保远程教育 5.900 -1.670% 
　　华视传媒 6.580 -0.300% 
　　航美传媒 5.600 0.180% 
　　新华悦动传媒 0.600 2.620% 
　　永新视博 7.710 -3.500% 
　　UT斯达康 1.100 -1.790% 
　　展讯通信 1.500 -1.320% 
　　亚信科技 16.370 -0.730% 
　　中芯国际 1.920 -6.800% 
　　中星微电子 1.850 -1.070% 
　　炬力 1.730 -1.140% 
　　侨兴环球 1.690 -5.060% 
　　德信无线 1.500 -3.230% 
　　无锡尚德 12.820 -2.580% 
　　文思信息 7.380 4.530% 
　　诺亚舟 3.000 1.010% 
　　中华网 1.180 -3.280% 


