中国概念股周五多数下跌 酷6传媒大跌14%创新低
　　新浪科技讯 北京时间8月6日凌晨消息，周五美国股市收盘涨跌不一。在周四美股重挫之后，情绪紧张的投资者们依然担心全球经济增长前景。中国概念股多数下跌，有16只股票跌幅超4%。其中，酷6传媒大跌14.06%报2.20美元创下52周新低；淘米网涨8.65%报14.44美元。
　　由于担心欧元区债务危机蔓延、美国可能重新陷入衰退，本周全球股市市值已蒸发约2.5万亿美元。周五美国公布的非农就业数据好于预期，为股市提供了一定程度的支撑。
　　昨天，亚信和展讯通信发布了第二季度财报。受财报影响，亚信下跌9.99%报11.62美元创下52周新低；展讯通信则大涨9.45%报14.48美元。
　　另外，空中网、金融界、蓝汛通信、软通动力、世纪互联、人人及世纪佳缘等7只股票跌幅均达5%以上。巨人则涨幅超5%。
　　美东时间8月5日16:00(北京时间8月6日04:00)，道琼斯工业平均指数上涨61.00点，收于11,444.68点，涨幅0.54%；纳斯达克综合指数下跌23.98点，收于2,532.41点，跌幅0.94%；标准普尔500指数下下跌0.73点，收于1,199.34点，跌幅0.06%。
　　今天盘中道指最高曾上涨近172点，午盘时有市场传言称标普将调降美国主权评级，导致美股大幅下跌，道指一度下跌245点，纳指重挫3.5%。标普拒绝对传言做出评论，亦不针对美国信用评级发表任何新的言论。此前穆迪和惠誉已宣布维持美国3A评级，前景负面。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　90.99　0.22%
　　CRIC　6.43　2.55%
　　网易　44.44　1.23%
　　搜狐　73.31　0.03%
　　百度　140.99　-2.04%
　　分众传媒　28.98　-1.53%
　　盛大　32.75　2.44%
　　盛大游戏　5.36　-1.11%
　　巨人网络　7.66　5.22%
　　畅游　42.38　3.24%
　　第九城市　5.05　-3.81%
　　完美世界　17.12　-1.83%
　　携程网　38.44　0.66%
　　金融界　2.71　-6.87%
　　艺龙　20.51　0.43%
　　前程无忧　57.01　-1.86%
　　掌上灵通　0.91　1.10%
　　空中网　3.99　-5.45%
　　酷6传媒　2.2　-14.06%
　　易居中国　6.64　-3.07%
　　华视传媒　2.45　4.70%
　　航美传媒　2.71　-2.52%
　　永新视博　4.7　0.00%
　　UT斯达康　1.31　-4.38%
　　展讯通信　14.48　9.45%
　　亚信科技　11.62　-9.99%
　　中芯国际　2.72　-1.45%
　　中星微电子　1.45　-3.33%
　　炬力　1.95　-3.47%
　　侨兴环球　1.07　2.88%
　　泰克飞石　3.86　1.58%
　　文思信息　18　-2.44%
　　诺亚舟　1.95　-5.34%
　　中华网　1.32　-7.04%
　　CDC软件　4.05　-5.81%
　　侨兴移动　1.74　2.96%
　　国人通信　1.81　-3.72%
　　联游网络　0.78　-2.51%
　　BCD半导体　6.05　-9.30%
　　学而思　11.59　-0.17%
　　学大教育　8.45　-1.28%
　　正保远程教育　2.7　-6.18%
　　新东方　111.15　0.23%
　　搜房网　20　1.52%
　　蓝汛　6.82　-7.34%
　　高德软件　16　-0.93%
　　麦考林　2.08　-4.59%
　　优酷网　28.37　-1.97%
　　当当网　9.26　0.87%
　　斯凯　5.83　1.22%
　　软通动力　11.45　-5.68%
　　创博国际　3.78　-3.69%
　　海辉软件　11.71　-4.02%
　　奇虎360　19.65　-3.82%
　　世纪互联　12.35　-6.65%
　　人人公司　7.62　-5.34%
　　网秦　7.1　-1.25%
　　世纪佳缘　12.74　-6.87%
　　凤凰新媒体　9.12　0.11%
　　淘米　14.26　7.30%

