中国互联网公司周四股价涨跌互现
　　新浪科技讯 北京时间7月16日凌晨消息，周四美国股市收盘基本持平。受此影响，中国互联网公司周四股价涨跌互现。
　　美东时间7月15日16:00(北京时间7月16日04:00)，道琼斯工业平均指数下跌7.41点，报10,359.31点，跌幅0.07%；纳斯达克综合指数下跌0.76点，报2,249.08点，跌幅0.03%；标准普尔500指数上涨1.30点，报1,096.47点，涨幅0.12%。
　　股票名称		最新价		涨跌幅
　　新浪		39.72		8.35%
　　CRIC		8.57		-2.72%
　　网易		33.74		1.05%
　　搜狐		42.85		-0.33%
　　百度		75.66		0.84%
　　分众传媒		17.08		-0.23%
　　盛大		39.42		-0.15%
　　盛大游戏		6.42		-1.08%
　　巨人网络		7.06		-0.56%
　　畅游		27.65		-0.79%
　　第九城市		4.21		-0.47%
　　完美时空		25.16		1.90%
　　携程网		36.81		-0.35%
　　金融界		7.76		-0.26%
　　艺龙		12.61		-0.32%
　　前程无忧		21.4		-0.37%
　　掌上灵通		1.43		5.93%
　　空中网		6.38		2.90%
　　华友世纪		2.52		4.56%
　　易居中国		15.85		-0.31%
　　如家快捷		40.44		-1.00%
　　7天连锁		11.17		0.00%
　　新东方		98.05		-1.62%
　　正保远程教育		4.2		5.53%
　　华视传媒		3.32		-0.90%
　　航美传媒		3.13		6.10%
　　新华悦动传媒		0.29		-3.13%
　　永新视博		5.88		1.03%
　　UT斯达康		2.02		-1.94%
　　展讯通信		8.62		-0.46%
　　亚信科技		25.57		-0.35%
　　中芯国际		3.45		0.88%
　　中星微电子		4.61		0.00%
　　炬力		2.19		1.39%
　　侨兴环球		1.58		-1.25%
　　德信无线		3		1.01%
　　无锡尚德		10.84		-0.73%
　　文思信息		25.22		0.88%
　　诺亚舟		3.4		-1.45%
　　中华网		2.18		-0.91%
　　CDC软件		7.37		-1.86%
　　侨兴移动		2.49		-3.49%
　　国人通信		1.73		-2.26%
　　汉庭连锁酒店		15.1		0.00%

