中国互联网公司周二收盘涨跌互现
　　新浪科技讯 北京时间7月7日凌晨消息 周二美国股市收高，但对比盘中最高点位涨幅已经大幅收窄。今天道指最高曾上涨近172点。中国互联网公司周二收盘股价涨跌互现，携程大跌13.82%。
　　美东时间7月6日16:00(北京时间7月7日04:00)，道琼斯工业平均指数上涨57.14点，收于9,743.62点，涨幅0.59%；纳斯达克综合指数上涨2.09点，收于2,093.88点，涨幅0.10%；标准普尔500指数上涨5.48点，收于1,028.06点，涨幅0.54%。
　　中国互联网公司周二收盘股价涨跌互现，携程大跌13.82%。
　　股票名称	最新价		涨跌幅
　　新浪		34.62		0.46%
　　CRIC		7.56		0.93%
　　网易		33.07		1.82%
　　搜狐		41		0.79%
　　百度		67.45		-0.15%
　　分众传媒	15.22		1.26%
　　盛大		36.91		-2.66%
　　盛大游戏	5.62		-2.09%
　　巨人网络	6.88		-0.15%
　　畅游		26.8		-1.36%
　　第九城市	4.16		-2.35%
　　完美时空	22.84		2.47%
　　携程网		32.81		-13.82%
　　金融界		7.03		0.29%
　　艺龙		12		-8.40%
　　前程无忧	19.39		2.38%
　　掌上灵通	1.38		-1.43%
　　空中网		6.03		2.73%
　　华友世纪	2.61		0.38%
　　易居中国	14.8		6.17%
　　如家快捷	37.3		-2.43%
　　7天连锁		10.96		-0.27%
　　新东方		93.07		1.26%
　　正保远程教育	3.5		0.00%
　　华视传媒	3.02		2.72%
　　航美传媒	2.88		-3.83%
　　新华悦动传媒	0.32		6.56%
　　永新视博	5.57		0.00%
　　UT斯达康	1.88		3.87%
　　展讯通信	8.35		0.97%
　　亚信科技	22.54		4.06%
　　中芯国际	3.89		-2.51%
　　中星微电子	4.5		0.00%
　　炬力		2.15		-0.46%
　　侨兴环球	1.46		-2.01%
　　德信无线	2.52		0.40%
　　无锡尚德	9.68		3.09%
　　文思信息	23.2		-0.17%
　　诺亚舟		3.49		2.05%
　　中华网		2.06		-1.90%
　　CDC软件		7.72		-0.26%
　　侨兴移动	2.44		-3.17%
　　国人通信	1.58		-0.63%
　　汉庭连锁酒店	15.13		0.46%

