中国概念股周五再度全线下跌 19只股票跌幅超4%
　　新浪科技讯 北京时间6月11日凌晨消息，由于市场担心全球经济增长放缓，周五美国股市大幅收跌，道指与标普500指数连续第六周下滑。中国疲软的进出口数据以及关于第二轮救援希腊计划的争论，加深了投资者对全球经济增长放缓的担心情绪。中国概念股再度全线下跌，除淘米网IPO第二日大涨24%告别破发外，有19只股票跌幅超过4%，其中包括13只跌幅超过5%。当日共计有8只股票跌破52周新低。若以跌幅超过3%统计，跌幅股票数可扩大到25只。
　　在13只跌幅超过5%的股票中，有6只股票跌幅超7%。跌幅超7%的股票具体情况是：九城跌7.88%报4.91美元；酷6跌7.23%报2.95美元；中华网软件跌7.59%报2.07美元创52周新低；华视传媒跌7.38%报3.01美元；蓝汛通信跌9.24%报7.07美元再创52周新低；软通动力跌8.49%报11.64美元创52周新低。
　　另外，创52周新低的股票还有：当当网跌5.67%报13.30美元创上市以来新低；网秦跌5.31%报4.64美元上市以来新低；创博国际跌4.56%报2.30美元创52周新低；中星微跌4.63%报2.47美元创52周新低；UT斯达康跌3.61%报1.60美元创52周新低。
　　美东时间6月10日16:00(北京时间6月11日04:00)，道琼斯工业平均指数下跌172.45点，收于11,951.91点，跌幅1.42%；纳斯达克综合指数下跌41.14点，收于2,643.73点，跌幅1.53%；标准普尔500指数下跌18.02点，收于1,270.98点，跌幅1.40%。
　　最近以来的经济数据使投资者对经济复苏速度感到担心，在这种背景下美国股市延续了下跌势头。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　89.33　-1.75%
　　CRIC　4.7　0.86%
　　网易　41.74　-1.71%
　　搜狐　69.39　-1.85%
　　百度　121.69　-1.23%
　　分众传媒　27.23　-2.82%
　　盛大　36.9　-1.31%
　　盛大游戏　6.35　0.40%
　　巨人网络　7.41　-0.27%
　　畅游　36.91　0.30%
　　第九城市　4.91　-7.88%
　　完美世界　20.22　-3.71%
　　携程网　40.51　-3.22%
　　金融界　3.9　1.30%
　　艺龙　19.44　1.04%
　　前程无忧　49.78　0.46%
　　掌上灵通　0.92　-3.16%
　　空中网　5.36　-2.01%
　　酷6传媒　2.95　-7.23%
　　易居中国　7.76　-4.32%
　　华视传媒　3.01　-7.38%
　　航美传媒　3.2　-1.54%
　　永新视博　5.77　1.05%
　　UT斯达康　1.6　-3.61%
　　展讯通信　14.68　-6.20%
　　亚信科技　14.42　1.48%
　　中芯国际　3.93　-2.72%
　　中星微电子　2.47　-4.63%
　　炬力　1.95　-2.01%
　　侨兴环球　1.42　-2.07%
　　德信无线　4.29　-5.51%
　　文思信息　21.02　-5.78%
　　诺亚舟　2.08　0.97%
　　中华网　2.07　-7.59%
　　CDC软件　4.61　-2.15%
　　侨兴移动　2.55　-3.04%
　　国人通信　2.5　3.73%
　　联游网络　0.97　-5.82%
　　BCD半导体　7.75　-1.40%
　　搜房网　17.75　-4.93%
　　蓝汛　7.07　-9.24%
　　高德软件　15.43　-1.28%
　　麦考林　2.96　-0.67%
　　优酷网　31.31　-5.03%
　　当当网　13.3　-5.67%
　　斯凯　6.78　-4.37%
　　软通动力　11.64　-8.49%
　　创博国际　2.3　-4.56%
　　海辉软件　13.85　-4.55%
　　奇虎360　21.5　-4.95%
　　世纪互联　10.01　-2.44%
　　人人公司　9.35　1.96%
　　网秦　4.64　-5.31%
　　世纪佳缘　10.06　-1.52%
　　凤凰新媒体　11.36　-2.66%
　　淘米　10.21　24.06%

