中国互联网公司周二股价多数上涨
　　新浪科技讯 北京时间2月3日凌晨消息 受D.R. Horton等企业盈利超出预期、二手房销售攀升等利好经济数据推动，周二美国股市收高。受此影响，中国互联网公司周二股价多数上涨。
　　美东时间周二16:00(北京时间2月3日05:00)，道琼斯工业平均指数上涨111.39点，收于10,296.92点，涨幅1.09%；纳斯达克综合指数上涨18.86点，收于2,190.06点，涨幅0.87%；标准普尔500指数上涨14.13点，收于1,103.31点，涨幅1.30%。
　　股票名称		最新价		涨跌幅
　　新浪		37.84		3.78%
　　CRIC		9		2.04%
　　网易		33.67		2.06%
　　搜狐		51.16		1.87%
　　百度		426.18		0.12%
　　分众传媒		15.26		12.79%
　　盛大		46.85		1.49%
　　盛大游戏		8.55		0.47%
　　巨人网络		7.34		0.14%
　　畅游		32.96		0.89%
　　第九城市		7.21		3.15%
　　完美时空		38.15		-0.13%
　　携程网		33.23		2.34%
　　金融界		7.47		0.95%
　　艺龙		10.51		3.14%
　　前程无忧		15.88		0.51%
　　掌上灵通		1.68		0.60%
　　空中网		8.73		-4.49%
　　华友世纪		2.99		-6.85%
　　易居中国		16.7		-0.24%
　　如家快捷		31.73		1.63%
　　7天连锁		12.44		1.06%
　　新东方		70.47		2.16%
　　正保远程教育		6.11		-1.29%
　　华视传媒		9.23		1.76%
　　航美传媒		7.94		1.15%
　　新华悦动传媒		0.57		1.70%
　　永新视博		6.41		-1.99%
　　UT斯达康		2.21		-0.45%
　　展讯通信		6.5		4.17%
　　亚信科技		25.32		0.12%
　　中芯国际		4.22		8.21%
　　中星微电子		4.69		2.40%
　　炬力		2.41		-0.82%
　　侨兴环球		1.9		-1.04%
　　德信无线		3.19		0.31%
　　无锡尚德		13.7		1.18%
　　文思信息		16.33		0.18%
　　诺亚舟		4.19		0.12%
　　中华网		2.39		1.70%
　　CDC软件		10.3		-0.77%
　　侨兴移动		2.51		5.46%
　　国人通信		3.48		5.45%

