中国概念股周四收盘涨跌互现
　　新浪科技讯 美国东部时间4月23日16:00(北京时间4月24日4:00)消息，包括苹果在内部分公司业绩好于预期，美股周四收高。受大盘影响，中国概念股周四收盘涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了70.49点，至7957.06点，涨幅为0.89%；纳斯达克综合指数上涨了6.09点，至1652.21点，涨幅为0.37%，标准普尔500指数上涨了8.37点，至851.92点，涨幅为0.99%。
　　股票名称 最新价 涨跌幅
　　新浪 27.660  3.290%
　　网易 30.290  1.200%
　　搜狐 47.880  2.700%
　　百度 212.500  2.000%
　　分众传媒 6.540  0.310%
　　盛大 46.840  4.620%
　　巨人网络 8.070 -0.620%
　　畅游 25.910 -1.030%
　　第九城市 9.350 -2.200%
　　完美时空 15.980 -2.080%
　　携程网 30.800  0.720%
　　金融界 11.690  1.390%
　　艺龙 7.300 -0.540%
　　前程无忧 7.710 -0.390%
　　掌上灵通 1.510 -0.660%
　　空中网 6.240  4.170%
　　华友世纪 1.370  3.790%
　　易居中国 11.090  8.200%
　　如家快捷 14.270  2.590%
　　新东方 51.860 -0.270%
　　正保远程教育 6.010  0.670%
　　华视传媒 5.970  7.960%
　　航美传媒 5.350  0.940%
　　新华悦动传媒 0.580  0.020%
　　永新视博 7.750  1.710%
　　UT斯达康 1.100 -2.650%
　　展讯通信 1.510 -0.660%
　　亚信科技 16.910 -4.080%
　　中芯国际 1.950 -0.510%
　　中星微电子 1.880  1.620%
　　炬力 1.740  2.350%
　　侨兴环球 1.690  0.000%
　　德信无线 1.490  0.680%
　　无锡尚德 13.220 -1.270%
　　文思信息 6.970 -2.650%
　　诺亚舟 3.000 -0.990%
　　中华网 1.200 -1.640%


