中国互联网公司周三收盘多数上涨
　　新浪科技讯 北京时间6月3日凌晨消息 周三美国股市大幅收高。在昨天美股大幅下跌之后市场信心回归，近期受到超卖的能源板块领涨大盘。中国互联网公司周三收盘股价多数上涨，盛大游戏上涨12%。
　　美东时间6月2日16:00(北京时间6月3日04:00)，道琼斯工业平均指数上涨225.52点，收于10,249.54点，涨幅2.25%；纳斯达克综合指数上涨58.74点，收于2,281.07点，涨幅2.64%；标准普尔500指数上涨27.67点，收于1,098.38点，涨幅2.58%。
　　中国互联网公司周三收盘股价多数上涨，盛大游戏上涨12%，报收于5.93美元。
　　股票名称	最新价		涨跌幅
　　新浪		37.39		1.77%
　　CRIC		7.77		-0.51%
　　网易		31.16		2.80%
　　搜狐		44		1.78%
　　百度		75.98		3.29%
　　分众传媒	15.44		0.13%
　　盛大		42.71		1.79%
　　盛大游戏	5.93		12.10%
　　巨人网络	7.12		1.14%
　　畅游		27.3		2.63%
　　第九城市	4.36		1.63%
　　完美时空	25.88		1.57%
　　携程网		39.91		4.94%
　　金融界		6.69		-0.89%
　　艺龙		14.05		0.43%
　　前程无忧	19.01		1.33%
　　掌上灵通	1.48		-0.67%
　　空中网		6.31		2.60%
　　华友世纪	3.5		-5.66%
　　易居中国	14.8		5.04%
　　如家快捷	38.93		1.35%
　　7天连锁		11.87		-2.47%
　　新东方		89.96		-0.65%
　　正保远程教育	4.26		0.35%
　　华视传媒	2.87		1.41%
　　航美传媒	4.1		6.49%
　　新华悦动传媒	0.34		-3.11%
　　永新视博	5.8		4.32%
　　UT斯达康	2		3.09%
　　展讯通信	10.33		1.87%
　　亚信科技	21.54		4.61%
　　中芯国际	4.12		5.10%
　　中星微电子	4.88		1.46%
　　炬力		2.09		0.97%
　　侨兴环球	1.53		0.66%
　　德信无线	2.68		3.88%
　　无锡尚德	9.76		-0.91%
　　文思信息	21.95		3.83%
　　诺亚舟		4.14		0.73%
　　中华网		2.11		2.43%
　　CDC软件		8.8		5.90%
　　侨兴移动	2.59		0.39%
　　国人通信	2.02		-0.98%
　　汉庭连锁酒店	14.2		-0.63%

