中国互联网公司周五股价多数上涨
　　新浪科技讯 北京时间12月19日凌晨消息，受甲骨文等科技公司利好财报推动，美国主要股指周五小幅上扬。受此影响，中国互联网公司周五股价多数上涨。
　　截至收盘，道琼斯工业平均指数上涨了20.63点，至10328.89点，涨幅为0.20%；纳斯达克综合指数上涨了31.64点，至2211.69点，涨幅为1.45%；标准普尔500指数上涨了6.31点，至1102.39点，涨幅为0.58%。
　　股票名称		最新价		涨跌幅
　　新浪		44.69		-0.38%
　　CRIC		10.6		-1.67%
　　网易		37.13		-1.01%
　　搜狐		54.56		1.09%
　　百度		414.4		-0.35%
　　分众传媒		16.81		3.77%
　　盛大		51.32		-1.67%
　　盛大游戏		10.56		3.02%
　　巨人网络		7.24		0.56%
　　畅游		32.29		-2.42%
　　第九城市		6.61		-2.36%
　　完美时空		40.93		-0.20%
　　携程网		74.45		-0.89%
　　金融界		7.85		1.68%
　　艺龙		11.68		1.57%
　　前程无忧		17.54		1.15%
　　掌上灵通		1.72		-3.37%
　　空中网		11.24		0.72%
　　华友世纪		4.1		0.24%
　　易居中国		19.37		1.68%
　　如家快捷		36.18		1.17%
　　7天酒店		12.04		1.40%
　　新东方		74.52		0.73%
　　正保远程教育		6.26		2.62%
　　华视传媒		12.05		8.75%
　　航美传媒		7.97		1.66%
　　新华悦动传媒		1		-1.96%
　　永新视博		6.01		2.04%
　　UT斯达康		1.92		-7.69%
　　展讯通信		5.38		2.09%
　　亚信科技		30.06		-1.05%
　　中芯国际		3.09		4.75%
　　中星微电子		4.5		0.00%
　　炬力		2.37		0.85%
　　侨兴环球		2.13		0.95%
　　德信无线		3.17		-0.63%
　　无锡尚德		16.98		-0.29%
　　文思信息		17.7		2.31%
　　诺亚舟		5.21		0.00%
　　中华网		2.32		0.00%
　　CDC软件		9.01		0.90%
　　侨兴移动		3.76		-5.05%
　　国人通信		3.57		0.56%

