全球平均网速1.7Mbps 韩国快七倍居首
　　新浪科技讯 北京时间1月18日上午消息，据国外媒体报道，美国网络技术供应商Akamai发布的《2009年第三季度互联网现状报告》显示，全球平均网速为1.7Mbps，环比增加18%，同比增加13%。韩国以14.6Mbps的平均网速仍然位居全球首位，比全球平均水平快七倍。
　　Akamai的报告显示，2009年第三季度，美国平均网速仅位列所涉及的203个国家和地区的第18位。但全球范围内的状况却比较乐观，在经历了第二季度的暂时下滑后，第三季度再度恢复增长，全球平均网速达到1.7Mbps，与第一季度持平。
　　韩国仍然位居各国首位，平均网速高达14.6Mbps。其次分别为日本、中国香港、罗马尼亚和瑞典等国。美国仅为3.9Mbps，环比增加1.8%，同比减少2.4%。
　　Akamai为全球各地的企业提供分布式计算平台。该公司的季度互联网报告会对其全球服务器网络内的数据进行搜集整理，从而得出与安全、网络渗透率、移动互联网、平均网速和宽带连接相关的数据。(书聿)
　　以下为2009年第三季度平均网速排名前10的国家及其网速列表：
　　国家        09年第三季度网速(单位Mbps)    环比变化    同比变化
　　全球                         1.7                    18%         13%
　　韩国             14.6                                   29%               16%
　　日本                          7.9                                     8.2%            11%
　　中国香港                  7.6                    10%               13%
　　罗马尼亚                 6.2                    -0.1%            12%
　　瑞典             5.7                                   -5.0%            6.2%
　　爱尔兰                      5.3                                    2.2%             18%
　　荷兰                         5.2                                    18%               13%
　　瑞士                         5.0                                        -              1.0%
　　丹麦                          4.8                    1.6%           7.7%
　　捷克             4.8                                    -3.1%           23%

