中国概念股周二涨跌互现 创博国际大涨19%
　　新浪科技讯 北京时间7月13日凌晨消息，周二美国股市收跌。穆迪评级机构将爱尔兰信用评级下调至垃圾级、评级前景定为“负面”，令市场再度担心欧洲债务危机继续扩散。中国概念股涨跌互现，网秦跌8.94%报5.60美元；金融界跌5.11%报3.16美元；创博国际大涨19.26报2.91美元；UT斯达康涨8.76%报1.49美元；其它各股涨跌幅均不大。
　　美东时间7月12日16:00(北京时间7月13日04:00)，道琼斯工业平均指数下跌58.88点，收于12,446.88点，跌幅0.47%；纳斯达克综合指数下跌20.71点，收于2,781.91点，跌幅0.74%；标准普尔500指数下跌5.85点，收于1,313.64点，跌幅0.44%。
　　由于担心欧洲主权债务危机可能蔓延、美国国会未能就削减赤字方案达成一致，周一美股重挫。
　　股票　最新价　涨跌幅
　　新浪　105.16　-0.18%
　　CRIC　6.27　2.28%
　　网易　46.28　1.27%
　　搜狐　74.15　-0.80%
　　百度　138.94　-2.43%
　　分众传媒　30.42　-1.33%
　　盛大　36.61　-0.84%
　　盛大游戏　6.31　2.60%
　　巨人网络　7.37　0.55%
　　畅游　43.69　2.80%
　　第九城市　5.98　1.53%
　　完美世界　19.82　-1.29%
　　携程网　43.11　-1.51%
　　金融界　3.16　-5.11%
　　艺龙　23.25　-3.12%
　　前程无忧　58.22　0.15%
　　掌上灵通　0.97　-2.01%
　　空中网　5.41　-0.73%
　　酷6传媒　3.34　-0.89%
　　易居中国　8.4　0.00%
　　华视传媒　2.8　3.70%
　　航美传媒　3.12　0.65%
　　永新视博　5.06　-0.98%
　　UT斯达康　1.49　8.76%
　　展讯通信　15.69　-3.39%
　　亚信科技　15.6　-0.98%
　　中芯国际　3.92　0.00%
　　中星微电子　1.86　0.54%
　　炬力　2.15　-0.46%
　　侨兴环球　1.09　-0.91%
　　德信无线　4.12　0.98%
　　文思信息　19.16　-2.94%
　　诺亚舟　2.38　-0.42%
　　中华网　2.15　0.47%
　　CDC软件　4.76　-3.28%
　　侨兴移动　1.8　0.00%
　　国人通信　2.41　-0.82%
　　联游网络　1.06　0.00%
　　BCD半导体　6.8　-3.19%
　　搜房网　20.3　2.73%
　　蓝汛　8.85　-4.01%
　　高德软件　14.92　0.67%
　　麦考林　3.15　0.00%
　　优酷网　35.51　-2.28%
　　当当网　12.38　0.08%
　　斯凯　9.34　2.52%
　　软通动力　14.5　-2.29%
　　创博国际　2.91　19.26%
　　海辉软件　14.76　2.36%
　　奇虎360　22.02　-1.26%
　　世纪互联　14.27　-3.12%
　　人人公司　9.52　-3.25%
　　网秦　5.6　-8.94%
　　世纪佳缘　11.16　2.01%
　　凤凰新媒体　9.6　4.80%
　　淘米　10.69　1.42%

