中国概念股周五几乎全线下跌
　　新浪科技讯 美国东部时间9月26日16:00(北京时间9月27日4:00)消息，美国7000亿美元银行救援方案遭遇阻力，加上华盛顿互惠银行曝处出美国历史上最大的银行倒闭案，市场情绪紧张。美国第二季度GDP数字被调降至2.8%，低于市场预期，使主要股指受到沉重压力。受此影响，中国概念股周五几乎全线下跌。
　　股票 股价 涨跌幅 
　　新浪 35.620 -4.810% 
　　网易 22.350 -2.660% 
　　搜狐 59.040 -5.380% 
　　百度 260.750 -5.350% 
　　分众传媒 29.500 -5.270% 
　　盛大网络 26.920 -10.590% 
　　巨人网络 6.740 -3.710% 
　　第九城市 18.530 2.720% 
　　完美时空 23.350 -1.850% 
　　携程网 39.930 -5.270% 
　　金融界 13.100 -4.200% 
　　艺龙 6.990 0.720% 
　　前程无忧 10.790 -6.420% 
　　灵通网 1.470 1.910% 
　　空中网 3.880 -0.770% 
　　华友世纪 2.710 -0.370% 
　　易居中国 7.910 -6.720% 
　　如家快捷 16.010 0.060% 
　　新东方 66.260 -3.000% 
　　正保远程教育 3.880 9.830% 
　　华视传媒 15.540 -4.900% 
　　航美传媒 7.860 -0.630% 
　　新华财经传媒 1.530 -10.530% 
　　永新视博 8.540 -1.730% 
　　UT斯达康 3.290 -4.910% 
　　展讯通信 2.840 -2.070% 
　　亚信 9.830 -1.700% 
　　中芯国际 1.500 -1.960% 
　　中星微 2.490 -5.320% 
　　珠海炬力 2.640 -3.300% 
　　侨兴环球 2.700 1.500% 
　　德信无线 1.100 -7.560% 
　　无锡尚德 38.480 -10.880% 
　　诺亚舟 3.960 -15.570% 
　　深圳迈瑞 35.920 -1.540% 
　　CDC 2.140 -2.280% 


