中国概念股周三多数上涨 九城大涨12.4%
　　新浪科技讯 北京时间11月4日凌晨消息 美股周三小幅上涨，美联储宣布将购买6000亿美元国债来刺激经济成长，美联储的目的是通过使利率维持在低水平来刺激支出与放贷。中国概念股多数上涨，九城大涨12.4%，海辉软件涨8.18%创52周新高，亚信联创则受财报影响大跌10.39%。
　　截至收盘(北京时间凌晨4点)，道琼斯工业平均指数上涨了26.41点，至11215.13点，涨幅为0.24%；纳斯达克综合指数上涨了6.75点，至2540.27点，涨幅为0.27%；标准普尔500指数上涨了4.39点，至1197.96点，涨幅为0.37%。
　　中国概念股周三多数上涨。九城大涨12.4%，报于6.80美元；航美传媒和海辉软件分别上涨8.21%和8.18%，报于6.85和28.84美元，海辉软件创52周新高；亚信联创则受财报影响大跌10.39%，报于20.53美元。
　　股票　最新价　涨跌幅
　　新浪　57　0.90%
　　CRIC　9.94　-0.60%
　　网易　40.3　-1.32%
　　搜狐　74.81　-0.86%
　　百度　110.65　1.00%
　　分众传媒　26.43　0.38%
　　盛大　40.15　0.05%
　　盛大游戏　6.47　0.15%
　　巨人网络　7.05　-0.84%
　　畅游　32.5　-2.43%
　　第九城市　6.8　12.40%
　　完美时空　32.92　2.59%
　　携程网　48.36　-7.28%
　　金融界　8.23　-0.72%
　　艺龙　18.3　2.06%
　　前程无忧　46.56　0.34%
　　掌上灵通　1.42　0.00%
　　空中网　7.7　-1.91%
　　酷6传媒　5.72　-0.35%
　　易居中国　17.03　-0.35%
　　如家快捷　49.76　-3.06%
　　7天连锁　19.3　-2.87%
　　新东方　106.22　-1.19%
　　正保远程教育　5.2　0.00%
　　华视传媒　4.1　4.33%
　　航美传媒　6.85　8.21%
　　新华悦动传媒　0.26　3.11%
　　永新视博　6.5　4.50%
　　UT斯达康　2.07　1.97%
　　展讯通信　15.82　0.00%
　　亚信科技　20.53　-10.39%
　　中芯国际　4.33　1.88%
　　中星微电子　3.78　-1.05%
　　炬力　2.09　-3.24%
　　侨兴环球　1.72　-0.58%
　　德信无线　3.95　2.07%
　　无锡尚德　8.64　2.49%
　　文思信息　37.78　1.10%
　　诺亚舟　2.04　4.09%
　　中华网　4.57　0.66%
　　CDC软件　6.94　-0.57%
　　侨兴移动　3.7　-0.80%
　　国人通信　2.74　1.11%
　　汉庭连锁酒店　22.93　0.48%
　　大华建设　0.79　-2.47%
　　搜房网　77　4.76%
　　蓝汛　23.8　2.32%
　　高德软件　22.3　1.32%
　　麦考林　14.59　-4.77%

