中国互联网公司周五多数下跌
　　新浪科技讯 北京时间5月8日凌晨消息 在欧洲债务危机以及周四美股重挫之后投资者一片恐慌，周五美国股市继续放量下跌，盘面波动。中国互联网公司多数下跌，但前程无忧逆势上涨近9%。
　　美东时间5月7日16:00(北京时间5月8日04:00)，道琼斯工业平均指数下跌140.72点，收于10,379.60点，跌幅1.34%；纳斯达克综合指数下跌54.00点，收于2,265.64点，跌幅2.33%；标准普尔500指数下跌17.29点，收于1,110.86点，跌幅1.53%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	32.74	-0.79%
　　CRIC	CRIC	8.06	0.62%
　　网易	NTES	32.12	0.22%
　　搜狐	SOHU	44.19	-2.47%
　　百度	BIDU	639.49	-4.27%
　　分众传媒	FMCN	15.14	2.02%
　　盛大	SNDA	43.65	0.25%
　　盛大游戏	GAME	6.28	0.32%
　　巨人网络	GA	7.1	-0.84%
　　畅游	CYOU	29.36	-1.74%
　　第九城市	NCTY	5.12	-6.74%
　　完美时空	PWRD	32.27	4.37%
　　携程网	CTRP	32.93	-3.15%
　　金融界	JRJC	6.88	0.88%
　　艺龙	LONG	10.55	-4.26%
　　前程无忧	JOBS	20.26	8.69%
　　掌上灵通	LTON	1.5	-2.60%
　　空中网	KONG	6.07	0.33%
　　华友世纪	HRAY	3.28	-2.38%
　　易居中国	EJ	14.38	-2.38%
　　如家快捷	HMIN	31.13	1.10%
　　7天连锁	SVN	9.31	-0.59%
　　新东方	EDU	87.28	-2.44%
　　正保远程教育	DL	5.31	-1.67%
　　华视传媒	VISN	3.63	-1.89%
　　航美传媒	AMCN	4.98	-6.57%
　　新华悦动传媒	XSEL	0.62	3.33%
　　永新视博	STV	5.94	-1.16%
　　UT斯达康	UTSI	2.19	-5.60%
　　展讯通信	SPRD	7.24	-0.55%
　　亚信科技	ASIA	23.19	-2.44%
　　中芯国际	SMI	4.36	4.81%
　　中星微电子	VIMC	4.38	0.00%
　　炬力	ACTS	2.22	-0.89%
　　侨兴环球	XING	1.59	-1.24%
　　德信无线	CNTF	2.03	-2.40%
　　无锡尚德	STP	10.49	-4.81%
　　文思信息	VIT	22.78	1.29%
　　诺亚舟	NED	3.99	0.00%
　　中华网	CHINA	2.4	0.00%
　　CDC软件	CDCS	9.28	0.05%
　　侨兴移动	QXM	2.25	-0.88%
　　国人通信	GRRF	2.05	5.13%
　　汉庭连锁酒店	HTHT	14.26	2.15%

