中国概念股周三早盘普跌
　　新浪科技讯 美国东部时间6月17日10:30(北京时间6月17日22:30)消息，美股周三平开，5月CPI月环比增长0.1%，增幅低于0.3%的市场预期。中国概念股周三早盘普跌。
　　截至美国东部时间6月17日10:30(北京时间6月17日22:30)，道琼斯工业平均指数下跌了13.68点，至8490.99点，跌幅为0.16%；纳斯达克综合指数下跌4.38点，至1791.80点，跌幅为0.24%，标准普尔500指数下跌了5.26点，至906.71点，涨幅为0.58%。
　　中国概念股周三早盘普跌，其中无锡尚德跌3.74%，中华网跌3.33%。
　　股票名称	最新价	 涨跌幅
　　新浪	30.020	 -0.530%
　　网易	34.900	 -0.820%
　　搜狐	63.420	 -0.910%
　　百度	292.810	  1.320%
　　分众传媒	7.100	 -3.790%
　　盛大	53.220	 -0.670%
　　巨人网络	8.080	  0.490%
　　畅游	34.350	 -3.480%
　　第九城市	10.060	 -1.660%
　　完美时空	24.190	  0.580%
　　携程网	39.800	 -2.260%
　　金融界	10.090	 -2.880%
　　艺龙	6.500	  0.000%
　　前程无忧	8.530	  0.000%
　　掌上灵通	1.970	 -8.380%
　　空中网	9.400	 -2.590%
　　华友世纪	3.820	  0.000%
　　易居中国	14.040	 -1.680%
　　如家快捷	15.200	 -2.190%
　　新东方	61.960	  1.410%
　　正保远程教育	6.470	 -0.310%
　　华视传媒	5.350	 -2.370%
　　航美传媒	6.830	 -2.430%
　　新华悦动传媒	0.830	  0.000%
　　永新视博	8.560	 -3.820%
　　UT斯达康	1.640	 -2.380%
　　展讯通信	2.600	 -0.760%
　　亚信科技	18.930	  0.690%
　　中芯国际	2.470	  0.000%
　　中星微电子	1.980	 -0.990%
　　炬力	2.000	  0.000%
　　侨兴环球	2.100	 -3.230%
　　德信无线	2.180	 -2.680%
　　无锡尚德	17.230	 -3.740%
　　诺亚舟	4.000	 -1.230%
　　中华网	1.450	 -3.330%

