中国概念股周四涨跌互现 世纪佳缘涨9%创新高
　　新浪科技讯 北京时间5月20日凌晨消息，周四美国股市收高，至此大盘连续第二个交易日上涨。上周首次申请失业救济数据以及Dollar Tree等企业财报好于预期，提升了市场情绪。中国概念股涨跌互现，新浪涨5.38%报117.39美元；世纪佳缘大涨9.09%报12.00美元创IPO以来新高；网秦则大跌15.37%报6.00美元，创下IPO以来又一新低。
　　空中网涨7.85%报6.18美元；酷6传媒涨7.16%报4.64美元；侨兴移动涨5.36%报2.75美元；航美传媒涨8.62%报3.78美元；高德软件涨7.26%报18.62美元。另外，蓝汛通信跌7.88%报11.58美元，创下52周新低；德信无线跌8.61%报6.16美元；软通动力跌5.01%报15.93美元；锐迪科微电子跌7.94%报10.66美元。
　　美东时间5月19日16:00(北京时间5月20日04:00)，道琼斯工业平均指数上涨41.32点，收于12,601.50点，涨幅0.33%；纳斯达克综合指数上涨8.31点，收于2,823.31点，涨幅0.30%；标准普尔500指数上涨2.92点，收于1,343.60点，涨幅0.22%。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　117.39　5.38%
　　CRIC　7.46　-0.53%
　　网易　46.85　1.98%
　　搜狐　84.48　0.12%
　　百度　135.88　3.06%
　　分众传媒　32.92　0.40%
　　盛大　43.48　2.16%
　　盛大游戏　7.1　-0.14%
　　巨人网络　8.21　0.12%
　　畅游　42.52　1.14%
　　第九城市　6.22　1.97%
　　完美世界　24.02　2.17%
　　携程网　44.82　3.51%
　　金融界　4.91　0.00%
　　艺龙　26.02　3.62%
　　前程无忧　58.21　-0.07%
　　掌上灵通　1　0.00%
　　空中网　6.18　7.85%
　　酷6传媒　4.64　7.16%
　　易居中国　10.65　1.82%
　　华视传媒　4.14　0.24%
　　航美传媒　3.78　8.62%
　　永新视博　5.8　0.87%
　　UT斯达康　2.19　-2.23%
　　展讯通信　19.38　-1.02%
　　亚信科技　19.32　0.10%
　　中芯国际　5.05　-1.17%
　　中星微电子　2.71　1.50%
　　炬力　2.27　-0.44%
　　侨兴环球　1.88　-1.05%
　　德信无线　6.16　-8.61%
　　文思信息　25.64　-0.62%
　　诺亚舟　2.46　-1.20%
　　中华网　2.78　-0.71%
　　CDC软件　4.78　-0.42%
　　侨兴移动　2.75　5.36%
　　国人通信　2.51　-0.79%
　　联游网络　1.38　-1.22%
　　BCD半导体　9.57　1.81%
　　搜房网　22.4　2.75%
　　蓝汛　11.58　-7.88%
　　高德软件　18.62　7.26%
　　麦考林　4.95　-3.13%
　　优酷网　49.59　4.55%
　　当当网　20.27　-1.79%
　　斯凯　10.98　-4.69%
　　软通动力　15.93　-5.01%
　　创博国际　3.75　0.27%
　　海辉软件　14.86　-2.75%
　　奇虎360　28.52　4.20%
　　世纪互联　13.47　0.00%
　　人人公司　13.75　0.36%
　　网秦　6　-15.37%
　　世纪佳缘　12　9.09%
　　凤凰新媒体　12.29　-1.29%

