中国互联网公司周四涨跌互现
　　新浪科技讯 北京时间4月9日凌晨消息 在利好的零售业销售业绩推动下，周四美国股市先扬后抑，最终小幅收高。一些大型零售商的销售业绩强劲增长，抵消了希腊债务危机问题对投资者的负面影响。中国互联网公司涨跌互现。
　　美东时间周四16:00(北京时间4月9日04:00)，道琼斯工业平均指数上涨29.55点，收于10,927.07点，涨幅0.27%；纳斯达克综合指数上涨5.65点，收于2,436.81点，涨幅0.23%；标准普尔500指数上涨3.99点，收于1,186.43点，涨幅0.34%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	38.69	-0.31%
　　CRIC	CRIC	10.13	-2.60%
　　网易	NTES	36.59	1.58%
　　搜狐	SOHU	53.6	-0.81%
　　百度	BIDU	619.85	0.34%
　　分众传媒	FMCN	17.83	4.09%
　　盛大	SNDA	45.52	-0.96%
　　盛大游戏	GAME	7.41	-1.33%
　　巨人网络	GA	7.82	1.16%
　　畅游	CYOU	32.23	0.25%
　　第九城市	NCTY	7.01	0.00%
　　完美时空	PWRD	38.68	0.91%
　　携程网	CTRP	39.05	-0.69%
　　金融界	JRJC	7.7	1.72%
　　艺龙	LONG	10.98	-5.10%
　　前程无忧	JOBS	18	-0.17%
　　掌上灵通	LTON	1.7	1.80%
　　空中网	KONG	7.97	-1.73%
　　华友世纪	HRAY	3.27	-2.10%
　　易居中国	EJ	19.8	-1.59%
　　如家快捷	HMIN	33.86	-0.21%
　　7天连锁	SVN	11.19	-0.09%
　　新东方	EDU	87.82	-0.26%
　　正保远程教育	DL	5.8	1.05%
　　华视传媒	VISN	4.68	0.00%
　　航美传媒	AMCN	6.06	-0.66%
　　新华悦动传媒	XSEL	0.63	3.28%
　　永新视博	STV	7.43	-0.40%
　　UT斯达康	UTSI	2.93	-0.34%
　　展讯通信	SPRD	5.82	-2.84%
　　亚信科技	ASIA	27.63	2.60%
　　中芯国际	SMI	6.54	3.32%
　　中星微电子	VIMC	4.5	-1.53%
　　炬力	ACTS	2.35	-0.42%
　　侨兴环球	XING	1.92	-0.52%
　　德信无线	CNTF	2.59	-0.38%
　　无锡尚德	STP	15.05	1.07%
　　文思信息	VIT	22.86	-0.22%
　　诺亚舟	NED	5.25	-1.50%
　　中华网	CHINA	3.1	-1.27%
　　CDC软件	CDCS	11.43	-0.61%
　　侨兴移动	QXM	2.88	1.74%
　　国人通信	GRRF	2.79	1.45%
　　汉庭连锁酒店	HTHT	16.19	-3.34%

