中国概念股周五多数下跌 麦考林跌6%创新低
　　新浪科技讯 北京时间11月27日凌晨消息，受欧洲债务危机影响，周五美国股市收低。尽管美国零售业的“黑色星期五”销售出现了一些积极迹象，但欧洲主权债务危机仍然令投资者感到担心。中国概念股今日多数下跌，麦考林大跌6.03%，股价创IPO后新低。锐迪科微则逆势大涨12.04%创上市新高。
　　美东时间11月26日13:00(北京时间11月27日02:00)，道琼斯工业平均指数下跌95.28点，收于11,092.00点，跌幅0.85%；纳斯达克综合指数下跌8.56点，收于2,534.56点，跌幅0.34%；标准普尔500指数下跌8.95点，收于1,189.40点，跌幅0.75%。
　　中国概念股周五涨跌互现。其中，麦考林大跌6.03%报12.78美元，股价创上市后新低；锐迪科微则大涨12.04%报17.59美元，创上市新高。另外，九城涨7.75%报6.95美元，高德软件涨5.85%报19.90美元。
　　股票　最新价　涨跌幅
　　新浪　61.81　-0.40%
　　CRIC　9.25　0.76%
　　网易　38.92　0.26%
　　搜狐　73.63　-0.49%
　　百度　109.32　0.37%
　　分众传媒　23.93　-1.97%
　　盛大　39.84　-0.45%
　　盛大游戏　5.68　-2.41%
　　巨人网络　7.09　-0.14%
　　畅游　30.25　-1.85%
　　第九城市　6.93　7.28%
　　完美时空　24.71　-0.48%
　　携程网　47.08　-1.94%
　　金融界　7.98　1.01%
　　艺龙　19.62　-1.16%
　　前程无忧　50.5　-1.33%
　　掌上灵通　1.43　1.42%
　　空中网　6.97　1.90%
　　酷6传媒　5.48　1.29%
　　易居中国　13.84　0.36%
　　如家快捷　48.58　-3.03%
　　7天连锁　23.74　-0.54%
　　新东方　108.32　2.18%
　　正保远程教育　5.01　0.00%
　　华视传媒　3.61　-3.73%
　　航美传媒　6.91　-8.48%
　　新华悦动传媒　0.25　-4.23%
　　永新视博　8.5　-5.56%
　　UT斯达康　2.11　0.00%
　　展讯通信　16.72　1.15%
　　亚信科技　17.49　-1.19%
　　中芯国际　3.73　0.54%
　　中星微电子　3.35　-2.90%
　　炬力　2.08　0.00%
　　侨兴环球　1.78　-1.66%
　　德信无线　4.11　-1.91%
　　无锡尚德　7.34　-0.68%
　　文思信息　37.53　-0.37%
　　诺亚舟　1.99　0.51%
　　中华网　4.06　-1.93%
　　CDC软件　7.26　0.83%
　　侨兴移动　3.87　-2.27%
　　国人通信　2.94　0.00%
　　汉庭连锁酒店　23.96　0.21%
　　大华建设　0.65　1.48%
　　搜房网　76.4　1.87%
　　蓝汛　30.54　-0.13%
　　高德软件　19.87　5.69%
　　麦考林　12.78　-6.03%

